sample,pop,cluster1,cluster2,cluster3
2,TER-North-Mesophotic,0.329855262,5.35509E-07,0.670144203
4,TER-North-Mesophotic,0.001774729,0.059634668,0.938590603
5,TER-North-Mesophotic,0.010233687,0.052671409,0.937094904
6,TER-North-Mesophotic,0.013331076,0.028401797,0.958267127
7,TER-North-Mesophotic,0.010635402,0.010117662,0.979246936
8,TER-North-Mesophotic,0.006286425,0.025357872,0.968355703
9,TER-North-Mesophotic,1E-09,0.999999998,1E-09
10,TER-North-Mesophotic,1E-09,1E-09,0.999999998
12,TER-North-Mesophotic,0.003291873,0.003349782,0.993358345
13,TER-North-Mesophotic,1E-09,0.999999998,1E-09
14,TER-North-Shallow,1E-09,0.999999998,1E-09
15,TER-North-Shallow,1E-09,0.999999998,1E-09
16,TER-North-Shallow,0.157367776,0.705664193,0.136968031
17,TER-North-Shallow,0.192315595,0.673044297,0.134640108
18,TER-North-Shallow,0.506018096,0.275332041,0.218649863
19,TER-North-Shallow,1E-09,0.999999998,1E-09
20,TER-North-Shallow,0.26416371,0.610259446,0.125576845
21,TER-North-Shallow,0.278016267,0.111957488,0.610026245
22,TER-North-Shallow,0.999999998,1E-09,1E-09
23,TER-North-Shallow,0.61484403,0.342444879,0.042711091
24,TER-North-Shallow,0.181913921,0.710607611,0.107478468
26,TER-North-Shallow,1E-09,0.999999998,1E-09
27,TER-North-Shallow,0.999999998,1E-09,1E-09
28,TER-North-Shallow,0.004335071,0.061851429,0.933813499
29,TER-North-Shallow,1E-09,0.999999998,1E-09
30,TER-North-Shallow,1E-09,0.999999998,1E-09
31,TER-North-Shallow,0.160097577,0.698292861,0.141609562
32,TER-North-Shallow,0.023219217,0.038624494,0.938156289
33,TER-North-Shallow,0.014249286,9.25908E-06,0.985741455
34,TER-North-Shallow,0.000000001,0.999999977,2.18229E-08
36,TER-North-Shallow,0.032817011,0.893146402,0.074036587
37,TER-North-Mesophotic,0.028282548,0.971717451,1E-09
38,TER-North-Mesophotic,2.7984E-05,0.088232169,0.911739847
39,TER-North-Mesophotic,0.703240039,0.000000001,0.29675996
40,TER-North-Mesophotic,0.042574138,0.007332156,0.950093706
41,TER-North-Mesophotic,1.61202E-05,0.999983879,1E-09
42,TER-North-Mesophotic,0.999999998,1E-09,1E-09
44,TER-North-Mesophotic,0.707607515,0.01752836,0.274864125
45,TER-North-Mesophotic,1.73004E-07,0.999999826,1E-09
46,TER-North-Mesophotic,0.0087629,0.991237099,1E-09
47,TER-North-Mesophotic,8.75202E-05,0.999912479,1E-09
48,TER-North-Shallow,1E-09,1E-09,0.999999998
49,TER-North-Shallow,5.80712E-07,0.080231098,0.919768321
50,TER-North-Shallow,0.155653826,0.706530089,0.137816085
52,TER-North-Shallow,0.068484356,0.339651874,0.59186377
53,TER-North-Shallow,1E-09,1E-09,0.999999998
54,TER-North-Mesophotic,7.05231E-09,0.999999992,1E-09
55,TER-North-Mesophotic,1E-09,1E-09,0.999999998
56,TER-North-Mesophotic,1E-09,1E-09,0.999999998
60,TER-North-Shallow,1E-09,1E-09,0.999999998
61,TER-South-Mesophotic,0.022856214,0.018748441,0.958395345
62,TER-South-Mesophotic,1E-09,1E-09,0.999999998
63,TER-South-Mesophotic,1E-09,1E-09,0.999999998
64,TER-South-Mesophotic,0.111748089,0.887410823,0.000841088
65,TER-South-Mesophotic,0.028054466,0.03621919,0.935726344
66,TER-South-Mesophotic,1E-09,1E-09,0.999999998
67,TER-South-Mesophotic,1E-09,1E-09,0.999999998
68,TER-South-Mesophotic,0.027294254,0.004146024,0.968559721
69,TER-South-Mesophotic,1E-09,1E-09,0.999999998
70,TER-South-Mesophotic,0.013728959,0.014594301,0.97167674
71,TER-South-Mesophotic,1E-09,0.025526314,0.974473685
72,TER-South-Mesophotic,1E-09,1E-09,0.999999998
73,TER-South-Mesophotic,1E-09,1E-09,0.999999998
74,TER-South-Mesophotic,0.931933895,0.068066069,3.5818E-08
75,TER-South-Mesophotic,0.013343825,6.99226E-08,0.986656105
76,TER-South-Mesophotic,0.009960957,1E-09,0.990039042
77,TER-South-Mesophotic,0.999999998,1E-09,1E-09
78,TER-South-Mesophotic,0.010080143,0.989919856,1E-09
79,TER-South-Mesophotic,0.006968721,0.028608994,0.964422286
80,TER-South-Mesophotic,0.999999727,2.7153E-07,1E-09
82,TER-South-Shallow,0.99857946,0.001420539,1E-09
84,TER-South-Shallow,0.962376799,0.0376232,1E-09
85,TER-South-Shallow,0.166344044,0.704614968,0.129040988
86,TER-South-Shallow,0.589412587,0.367316548,0.043270866
87,TER-South-Shallow,0.44247887,0.328799179,0.228721951
88,TER-South-Shallow,0.205396039,0.657249944,0.137354017
89,TER-South-Shallow,1E-09,0.999999998,1E-09
90,TER-South-Shallow,0.999999998,1E-09,1E-09
91,TER-South-Shallow,0.578888048,0.406161255,0.014950698
92,TER-South-Shallow,0.600770014,0.359326921,0.039903065
93,TER-South-Shallow,0.89892745,0.101072549,0.000000001
94,TER-South-Shallow,0.202783961,0.515824066,0.281391973
95,TER-South-Shallow,0.07705074,0.80127187,0.12167739
96,TER-South-Shallow,0.123937236,0.721035419,0.155027345
97,TER-South-Shallow,0.996795422,0.003204577,1E-09
98,TER-South-Shallow,1E-09,0.999999998,1E-09
99,TER-South-Shallow,0.034803125,0.965196874,1E-09
100,TER-South-Shallow,0.148928456,0.744739229,0.106332315
101,TER-South-Shallow,0.005704087,0.994295912,1E-09
102,TER-South-Shallow,0.576944829,0.385324974,0.037730197
103,TER-South-Shallow,0.155539751,0.652483532,0.191976717
104,TER-South-Shallow,0.926640187,0.073359812,1E-09
105,TER-South-Shallow,0.140741024,0.698896097,0.160362879
106,TER-South-Shallow,0.043396118,0.956603881,1E-09
107,TER-South-Mesophotic,1E-09,1E-09,0.999999998
108,TER-South-Mesophotic,1E-09,1E-09,0.999999998
109,TER-South-Mesophotic,0.020287087,0.008838353,0.970874561
110,TER-South-Mesophotic,4.09655E-05,0.002503107,0.997455928
111,TER-South-Mesophotic,0.945797425,0.017205136,0.036997439
112,TER-South-Mesophotic,0.027622939,0.05195389,0.920423171
113,TER-South-Mesophotic,0.01482929,0.013184671,0.971986039
114,TER-South-Mesophotic,0.863170481,0.026436825,0.110392694
115,TER-South-Mesophotic,0.016001357,0.151893868,0.832104775
116,TER-South-Mesophotic,1E-09,1E-09,0.999999998
117,TER-South-Mesophotic,0.82119395,0.014727516,0.164078535
118,TER-South-Shallow,0.071246386,0.928753613,1E-09
119,TER-South-Shallow,0.999999998,1E-09,1E-09
120,TER-South-Shallow,0.193975031,0.683680391,0.122344578
121,TER-South-Shallow,1E-09,0.999999998,1E-09
122,TER-South-Mesophotic,0.039390391,0.000000001,0.960609608
123,TER-South-Mesophotic,0.190551855,0.036043275,0.77340487
124,TER-South-Mesophotic,0.020809526,0.025226952,0.953963523
125,TER-South-Mesophotic,0.005900261,0.030333554,0.963766185
126,TER-South-Mesophotic,1.66275E-07,0.050873801,0.949126033
127,TER-South-Mesophotic,1.24273E-08,0.00057507,0.999424917
128,Lower Keys-Shallow,0.015440104,0.984559895,1E-09
129,Lower Keys-Shallow,0.182565637,0.683800643,0.13363372
130,Lower Keys-Shallow,0.01023945,0.989760549,1E-09
131,Lower Keys-Shallow,6.17683E-06,0.999993822,1E-09
132,Lower Keys-Shallow,0.160752543,0.73957957,0.099667887
133,Lower Keys-Shallow,0.999999998,1E-09,1E-09
134,Lower Keys-Shallow,0.999999998,1E-09,1E-09
135,Lower Keys-Shallow,1E-09,0.999999998,1E-09
136,Lower Keys-Shallow,1E-09,0.999999998,1E-09
137,Lower Keys-Shallow,1.71208E-05,0.999982878,1E-09
