sample,pop,cluster1,cluster2,cluster3,cluster4
2,TER-North-Mesophotic,0.334342934,0.564431538,0.101225526,0.000000001
4,TER-North-Mesophotic,1.00E-09,2.49E-06,0.997466212,0.002531298
5,TER-North-Mesophotic,2.70E-09,0.145348646,0.829142243,0.025509108
6,TER-North-Mesophotic,1.00E-09,0.067242115,0.932757883,1.00E-09
7,TER-North-Mesophotic,1.00E-09,0.10824517,0.891754828,1.00E-09
8,TER-North-Mesophotic,1.00E-09,6.72E-07,0.999999326,1.00E-09
9,TER-North-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
10,TER-North-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
12,TER-North-Mesophotic,1.00E-09,0.072507277,0.927492721,1.00E-09
13,TER-North-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
14,TER-North-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
15,TER-North-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
16,TER-North-Shallow,0.155541854,1.01E-08,0.159176475,0.685281661
17,TER-North-Shallow,0.190057128,9.51E-06,0.140774376,0.669158989
18,TER-North-Shallow,0.512151903,0.206931368,8.05E-05,0.280836188
19,TER-North-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
20,TER-North-Shallow,0.265705785,0.102861058,0.024566437,0.60686672
21,TER-North-Shallow,0.286027781,0.528608023,0.072125583,0.113238613
22,TER-North-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
23,TER-North-Shallow,0.615225661,0.000000001,0.053276788,0.33149755
24,TER-North-Shallow,0.182490086,1.00E-09,0.132457202,0.685052711
26,TER-North-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
27,TER-North-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
28,TER-North-Shallow,1.00E-09,0.111156115,0.863463981,0.025379903
29,TER-North-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
30,TER-North-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
31,TER-North-Shallow,0.160938917,0.000000001,0.166180509,0.672880573
32,TER-North-Shallow,0.019588903,0.028120961,0.952290135,0.000000001
33,TER-North-Shallow,1.00E-09,0.072340945,0.927659053,1.00E-09
34,TER-North-Shallow,1.00E-09,0.000106312,1.00E-09,0.999893686
36,TER-North-Shallow,0.028773022,0.078477601,0.000000001,0.892749375
37,TER-North-Mesophotic,0.030067557,1.00E-09,1.00E-09,0.969932441
38,TER-North-Mesophotic,1.00E-09,0.024746441,0.922549616,0.052703941
39,TER-North-Mesophotic,0.713921939,0.286078059,1.00E-09,1.00E-09
40,TER-North-Mesophotic,0.017391356,0.122559919,0.860048651,7.35E-08
41,TER-North-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
42,TER-North-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
44,TER-North-Mesophotic,0.719958984,0.26412556,0.000242857,0.015672599
45,TER-North-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
46,TER-North-Mesophotic,0.007515344,1.00E-09,1.00E-09,0.992484654
47,TER-North-Mesophotic,1.27E-08,1.00E-09,1.00E-09,0.999999985
48,TER-North-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
49,TER-North-Shallow,0.000000001,0.842460363,0.066374864,0.091164772
50,TER-North-Shallow,0.154322943,1.28E-07,0.157607923,0.688069006
52,TER-North-Shallow,0.058880205,0.003418751,0.63179007,0.305910974
53,TER-North-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
54,TER-North-Mesophotic,1.00E-09,1.00E-09,1.00E-09,0.999999997
55,TER-North-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
56,TER-North-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
60,TER-North-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
61,TER-South-Mesophotic,1.00E-09,0.131021675,0.868978323,1.00E-09
62,TER-South-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
63,TER-South-Mesophotic,1.00E-09,0.999673103,0.000326895,1.00E-09
64,TER-South-Mesophotic,0.112528993,1.00E-09,0.017425222,0.870045784
65,TER-South-Mesophotic,0.01662119,0.169568705,0.813366589,0.000443516
66,TER-South-Mesophotic,1.00E-09,0.600425186,0.399574812,1.00E-09
67,TER-South-Mesophotic,1.00E-09,0.99981746,0.000182538,1.00E-09
68,TER-South-Mesophotic,1.00E-09,1.84E-05,0.999981627,1.00E-09
69,TER-South-Mesophotic,1.00E-09,0.999984065,1.59E-05,1.00E-09
70,TER-South-Mesophotic,1.00E-09,1.00E-09,0.999999997,1.00E-09
71,TER-South-Mesophotic,1.00E-09,0.034164052,0.965835946,1.00E-09
72,TER-South-Mesophotic,1.00E-09,0.963875324,0.036124674,1.00E-09
73,TER-South-Mesophotic,1.00E-09,0.999999997,1.00E-09,1.00E-09
74,TER-South-Mesophotic,0.932245243,7.46E-09,0.000000001,0.067754748
75,TER-South-Mesophotic,1.00E-09,0.027752181,0.972247817,1.00E-09
76,TER-South-Mesophotic,0.013186145,0.986795323,1.85E-05,1.00E-09
77,TER-South-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
78,TER-South-Mesophotic,0.010164945,1.00E-09,1.00E-09,0.989835053
79,TER-South-Mesophotic,1.00E-09,4.23E-08,0.999999956,1.00E-09
80,TER-South-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
82,TER-South-Shallow,0.99971766,1.00E-09,1.00E-09,0.000282338
84,TER-South-Shallow,0.961469455,1.00E-09,1.00E-09,0.038530543
85,TER-South-Shallow,0.166112017,1.00E-09,0.152965504,0.680922479
86,TER-South-Shallow,0.588392552,0.000000001,0.054578318,0.357029128
87,TER-South-Shallow,0.444819903,0.136998552,0.093879448,0.324302097
88,TER-South-Shallow,0.208049656,0.003077474,0.151052915,0.637819955
89,TER-South-Shallow,1.00E-09,1.00E-09,1.00E-09,0.999999997
90,TER-South-Shallow,0.999999997,1.00E-09,1.00E-09,1.00E-09
91,TER-South-Shallow,0.577501084,1.00E-09,0.029648573,0.392850342
92,TER-South-Shallow,0.599821426,0.000000001,0.052594756,0.347583818
93,TER-South-Shallow,0.899549201,1.00E-09,1.00E-09,0.100450797
94,TER-South-Shallow,0.19813936,0.00139478,0.302429048,0.498036813
95,TER-South-Shallow,0.07575527,0.010903847,0.118017244,0.79532364
96,TER-South-Shallow,0.123976649,5.89E-09,0.177763886,0.698259459
