sample,pop,depth
2,TER-North-Mesophotic,Mesophotic
4,TER-North-Mesophotic,Mesophotic
5,TER-North-Mesophotic,Mesophotic
6,TER-North-Mesophotic,Mesophotic
7,TER-North-Mesophotic,Mesophotic
8,TER-North-Mesophotic,Mesophotic
9,TER-North-Mesophotic,Mesophotic
10,TER-North-Mesophotic,Mesophotic
12,TER-North-Mesophotic,Mesophotic
13,TER-North-Mesophotic,Mesophotic
14,TER-North-Shallow,Shallow
15,TER-North-Shallow,Shallow
16,TER-North-Shallow,Shallow
17,TER-North-Shallow,Shallow
18,TER-North-Shallow,Shallow
19,TER-North-Shallow,Shallow
20,TER-North-Shallow,Shallow
21,TER-North-Shallow,Shallow
22,TER-North-Shallow,Shallow
23,TER-North-Shallow,Shallow
24,TER-North-Shallow,Shallow
26,TER-North-Shallow,Shallow
27,TER-North-Shallow,Shallow
28,TER-North-Shallow,Shallow
29,TER-North-Shallow,Shallow
30,TER-North-Shallow,Shallow
31,TER-North-Shallow,Shallow
32,TER-North-Shallow,Shallow
33,TER-North-Shallow,Shallow
34,TER-North-Shallow,Shallow
36,TER-North-Shallow,Shallow
37,TER-North-Mesophotic,Mesophotic
38,TER-North-Mesophotic,Mesophotic
39,TER-North-Mesophotic,Mesophotic
40,TER-North-Mesophotic,Mesophotic
41,TER-North-Mesophotic,Mesophotic
42,TER-North-Mesophotic,Mesophotic
44,TER-North-Mesophotic,Mesophotic
45,TER-North-Mesophotic,Mesophotic
46,TER-North-Mesophotic,Mesophotic
47,TER-North-Mesophotic,Mesophotic
48,TER-North-Shallow,Shallow
49,TER-North-Shallow,Shallow
50,TER-North-Shallow,Shallow
52,TER-North-Shallow,Shallow
53,TER-North-Shallow,Shallow
54,TER-North-Mesophotic,Mesophotic
55,TER-North-Mesophotic,Mesophotic
56,TER-North-Mesophotic,Mesophotic
60,TER-North-Shallow,Shallow
61,TER-South-Mesophotic,Mesophotic
62,TER-South-Mesophotic,Mesophotic
63,TER-South-Mesophotic,Mesophotic
64,TER-South-Mesophotic,Mesophotic
65,TER-South-Mesophotic,Mesophotic
66,TER-South-Mesophotic,Mesophotic
67,TER-South-Mesophotic,Mesophotic
68,TER-South-Mesophotic,Mesophotic
69,TER-South-Mesophotic,Mesophotic
70,TER-South-Mesophotic,Mesophotic
71,TER-South-Mesophotic,Mesophotic
72,TER-South-Mesophotic,Mesophotic
73,TER-South-Mesophotic,Mesophotic
74,TER-South-Mesophotic,Mesophotic
75,TER-South-Mesophotic,Mesophotic
76,TER-South-Mesophotic,Mesophotic
77,TER-South-Mesophotic,Mesophotic
78,TER-South-Mesophotic,Mesophotic
79,TER-South-Mesophotic,Mesophotic
80,TER-South-Mesophotic,Mesophotic
82,TER-South-Shallow,Shallow
84,TER-South-Shallow,Shallow
85,TER-South-Shallow,Shallow
86,TER-South-Shallow,Shallow
87,TER-South-Shallow,Shallow
88,TER-South-Shallow,Shallow
89,TER-South-Shallow,Shallow
90,TER-South-Shallow,Shallow
91,TER-South-Shallow,Shallow
92,TER-South-Shallow,Shallow
93,TER-South-Shallow,Shallow
94,TER-South-Shallow,Shallow
95,TER-South-Shallow,Shallow
96,TER-South-Shallow,Shallow
97,TER-South-Shallow,Shallow
98,TER-South-Shallow,Shallow
99,TER-South-Shallow,Shallow
100,TER-South-Shallow,Shallow
101,TER-South-Shallow,Shallow
102,TER-South-Shallow,Shallow
103,TER-South-Shallow,Shallow
104,TER-South-Shallow,Shallow
105,TER-South-Shallow,Shallow
106,TER-South-Shallow,Shallow
107,TER-South-Mesophotic,Mesophotic
108,TER-South-Mesophotic,Mesophotic
109,TER-South-Mesophotic,Mesophotic
110,TER-South-Mesophotic,Mesophotic
111,TER-South-Mesophotic,Mesophotic
112,TER-South-Mesophotic,Mesophotic
113,TER-South-Mesophotic,Mesophotic
114,TER-South-Mesophotic,Mesophotic
115,TER-South-Mesophotic,Mesophotic
116,TER-South-Mesophotic,Mesophotic
117,TER-South-Mesophotic,Mesophotic
118,TER-South-Shallow,Shallow
119,TER-South-Shallow,Shallow
120,TER-South-Shallow,Shallow
121,TER-South-Shallow,Shallow
122,TER-South-Mesophotic,Mesophotic
123,TER-South-Mesophotic,Mesophotic
124,TER-South-Mesophotic,Mesophotic
125,TER-South-Mesophotic,Mesophotic
126,TER-South-Mesophotic,Mesophotic
127,TER-South-Mesophotic,Mesophotic
128,Lower Keys-Shallow,Shallow
129,Lower Keys-Shallow,Shallow
130,Lower Keys-Shallow,Shallow
131,Lower Keys-Shallow,Shallow
132,Lower Keys-Shallow,Shallow
133,Lower Keys-Shallow,Shallow
134,Lower Keys-Shallow,Shallow
135,Lower Keys-Shallow,Shallow
136,Lower Keys-Shallow,Shallow
137,Lower Keys-Shallow,Shallow
138,Lower Keys-Shallow,Shallow
139,Lower Keys-Shallow,Shallow
140,Lower Keys-Shallow,Shallow
141,Lower Keys-Shallow,Shallow
142,Lower Keys-Shallow,Shallow
143,Lower Keys-Shallow,Shallow
144,Lower Keys-Shallow,Shallow
145,Lower Keys-Shallow,Shallow
146,Lower Keys-Shallow,Shallow
147,Lower Keys-Shallow,Shallow
148,Lower Keys-Shallow,Shallow
149,Lower Keys-Shallow,Shallow
150,Lower Keys-Shallow,Shallow
151,Lower Keys-Shallow,Shallow
152,Lower Keys-Shallow,Shallow
153,Lower Keys-Shallow,Shallow
154,Lower Keys-Shallow,Shallow
155,Lower Keys-Shallow,Shallow
156,Lower Keys-Shallow,Shallow
157,Lower Keys-Mesophotic,Mesophotic
158,Lower Keys-Mesophotic,Mesophotic
159,Lower Keys-Mesophotic,Mesophotic
160,Lower Keys-Mesophotic,Mesophotic
161,Lower Keys-Mesophotic,Mesophotic
162,Lower Keys-Mesophotic,Mesophotic
163,Lower Keys-Mesophotic,Mesophotic
164,Lower Keys-Mesophotic,Mesophotic
165,Lower Keys-Mesophotic,Mesophotic
166,Lower Keys-Mesophotic,Mesophotic
