sample,pop,Symbiodinium,Breviolum,Cladocopium,Durusdinium
2,TER-North-Mesophotic,0,0,1,0
4,TER-North-Mesophotic,0,0.001870557,0.99738122,0.000748223
5,TER-North-Mesophotic,0,0.000405186,0.99871691,0.000877904
6,TER-North-Mesophotic,0,0.00053376,0.999199359,0.00026688
7,TER-North-Mesophotic,0,0.000175809,0.99859353,0.001230661
8,TER-North-Mesophotic,0,0.005836576,0.994163424,0
9,TER-North-Mesophotic,0,0.000667111,0.999066044,0.000266845
10,TER-North-Mesophotic,0,0.000669472,0.998661056,0.000669472
12,TER-North-Mesophotic,0.000477783,0.001911132,0.997133301,0.000477783
13,TER-North-Mesophotic,0.00136147,0.000680735,0.997277059,0.000680735
14,TER-North-Shallow,0,0.000465387,0.998254799,0.001279814
15,TER-North-Shallow,0,0.000295334,0.999113999,0.000590667
16,TER-North-Shallow,0,0.001035197,0.998619738,0.000345066
17,TER-North-Shallow,0,0.002877698,0.997122302,0
18,TER-North-Shallow,0,0,1,0
19,TER-North-Shallow,0.000189753,0,0.99943074,0.000379507
20,TER-North-Shallow,0,0,0.995983936,0.004016064
21,TER-North-Shallow,0,0,0.996336996,0.003663004
22,TER-North-Shallow,0,0.000482644,0.999086889,0.000430467
23,TER-North-Shallow,0,0.009259259,0.990740741,0
24,TER-North-Shallow,0,0.000502386,0.998744034,0.00075358
26,TER-North-Shallow,0,0,1,0
27,TER-North-Shallow,0,0.000630915,0.99873817,0.000630915
28,TER-North-Shallow,0,0,1,0
29,TER-North-Shallow,0.000192086,0.000384172,0.998079139,0.001344602
30,TER-North-Shallow,0,0.000471958,0.998898765,0.000629277
31,TER-North-Shallow,0,0.001468429,0.997797357,0.000734214
32,TER-North-Shallow,0,0.001040583,0.998959417,0
33,TER-North-Shallow,0,0.002661934,0.995563443,0.001774623
34,TER-North-Shallow,0,0,1,0
36,TER-North-Shallow,0,0,1,0
37,TER-North-Mesophotic,0,0,1,0
38,TER-North-Mesophotic,0,0.000644164,0.998711672,0.000644164
39,TER-North-Mesophotic,0,0.00234192,0.99765808,0
40,TER-North-Mesophotic,0,0,1,0
41,TER-North-Mesophotic,0,0.001384402,0.997231195,0.001384402
42,TER-North-Mesophotic,0,0.000379034,0.999241932,0.000379034
44,TER-North-Mesophotic,0.000238892,0.001433349,0.997611085,0.000716675
45,TER-North-Mesophotic,0,0.000854214,0.998861048,0.000284738
46,TER-North-Mesophotic,0,0,0.999557718,0.000442282
47,TER-North-Mesophotic,0,0.00110538,0.997789241,0.00110538
48,TER-North-Shallow,9.96314E-05,0.000597788,0.998405898,0.000896682
49,TER-North-Shallow,0,0,1,0
50,TER-North-Shallow,0,0.000342583,0.998972251,0.000685166
52,TER-North-Shallow,0.000221092,0,0.999557816,0.000221092
53,TER-North-Shallow,0,0,0.998976877,0.001023123
54,TER-North-Mesophotic,0,0.000695773,0.997216907,0.00208732
55,TER-North-Mesophotic,0,0.000256345,0.998718277,0.001025378
56,TER-North-Mesophotic,0,0,0.999514445,0.000485555
60,TER-North-Shallow,0,0.000218531,0.999344406,0.000437063
61,TER-South-Mesophotic,0,0.000866363,0.997834091,0.001299545
62,TER-South-Mesophotic,0.000569476,0.000284738,0.998861048,0.000284738
63,TER-South-Mesophotic,0,0,0.998383185,0.001616815
64,TER-South-Mesophotic,0.000157348,0.000786741,0.998478968,0.000576943
65,TER-South-Mesophotic,0,0,1,0
66,TER-South-Mesophotic,0,0,1,0
67,TER-South-Mesophotic,0,0.002619172,0.997380828,0
68,TER-South-Mesophotic,0,0.000721327,0.998797788,0.000480885
69,TER-South-Mesophotic,0,0,1,0
70,TER-South-Mesophotic,0,0.000178875,0.999016188,0.000804937
71,TER-South-Mesophotic,0.000115327,0.000115327,0.999077384,0.000691962
72,TER-South-Mesophotic,0,0.003984064,0.996015936,0
73,TER-South-Mesophotic,0,0.00069541,0.998609179,0.00069541
74,TER-South-Mesophotic,0,0.001821494,0.998178506,0
75,TER-South-Mesophotic,0,0.000257025,0.999228924,0.000514051
76,TER-South-Mesophotic,0,0.000866551,0.999133449,0
77,TER-South-Mesophotic,0.000621041,0.000248416,0.998012669,0.001117874
78,TER-South-Mesophotic,0,0.000541052,0.998376843,0.001082105
79,TER-South-Mesophotic,0,0,0.998484848,0.001515152
80,TER-South-Mesophotic,0,0.000919822,0.998926874,0.000153304
82,TER-South-Shallow,0,0.000258732,0.998447607,0.001293661
84,TER-South-Shallow,0,0.00015341,0.999539771,0.000306819
85,TER-South-Shallow,1.87878E-05,0.000394544,0.998872731,0.000713937
86,TER-South-Shallow,0.000692841,0.000230947,0.998614319,0.000461894
87,TER-South-Shallow,0,0,0.996539792,0.003460208
88,TER-South-Shallow,0,0.000648884,0.99858636,0.000764756
89,TER-South-Shallow,0,0.000488186,0.998633079,0.000878735
90,TER-South-Shallow,0,0,0.999288256,0.000711744
91,TER-South-Shallow,0,0.000375799,0.998622072,0.00100213
92,TER-South-Shallow,0,0.000962001,0.998316498,0.000721501
