sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
10.trim.bt2.sam	333	0	2	5798	2	12263	0	7	10442	7	0.46023	0	0.001	0.999	0.001
100.trim.bt2.sam	221	0	1	2613	1	3037	0	1	3477	1	0.53392	0	0	0.999	0
101.trim.bt2.sam	253	1	2	9036	2	4915	1	14	26254	13	0.84245	0	0.001	0.999	0
102.trim.bt2.sam	239	1	2	3439	2	3718	1	2	4974	4	0.57259	0	0	0.999	0.001
103.trim.bt2.sam	194	0	1	1645	0	1839	0	1	2018	0	0.52333	0	0	1	0
104.trim.bt2.sam	184	0	0	600	0	1526	0	0	637	0	0.2945	0	0	1	0
105.trim.bt2.sam	196	0	1	1815	2	1704	0	1	2099	2	0.55229	0	0	0.999	0.001
106.trim.bt2.sam	182	1	0	822	0	1744	1	0	889	0	0.33789	0.001	0	0.999	0
107.trim.bt2.sam	182	0	0	929	0	979	0	0	1017	0	0.50952	0	0	1	0
108.trim.bt2.sam	224	0	3	3021	2	3640	0	5	4131	3	0.53207	0	0.001	0.998	0.001
109.trim.bt2.sam	218	0	17	2950	2	3246	0	17	4121	4	0.56064	0	0.004	0.995	0.001
110.trim.bt2.sam	167	0	0	479	1	1002	0	0	502	1	0.33422	0	0	0.998	0.002
111.trim.bt2.sam	187	0	2	6405	3	1837	0	3	11972	11	0.86711	0	0	0.999	0.001
112.trim.bt2.sam	158	0	0	444	2	889	0	0	472	2	0.34776	0	0	0.996	0.004
113.trim.bt2.sam	246	0	1	1959	3	4472	0	1	2342	6	0.34438	0	0	0.997	0.003
114.trim.bt2.sam	96	0	0	39	0	239	0	0	39	0	0.14029	0	0	1	0
115.trim.bt2.sam	153	1	1	463	1	758	2	1	480	1	0.38969	0.004	0.002	0.992	0.002
116.trim.bt2.sam	331	0	11	5739	3	11611	0	12	10144	7	0.46675	0	0.001	0.998	0.001
117.trim.bt2.sam	91	0	0	68	0	198	0	0	69	0	0.25843	0	0	1	0
118.trim.bt2.sam	252	0	4	5758	3	5161	0	5	10809	7	0.67707	0	0	0.999	0.001
119.trim.bt2.sam	191	0	2	2490	1	2136	0	2	3179	1	0.59835	0	0.001	0.999	0
12.trim.bt2.sam	291	2	6	3215	1	7043	2	8	4174	2	0.37278	0	0.002	0.997	0
120.trim.bt2.sam	235	0	0	2624	0	3991	0	0	3383	0	0.45877	0	0	1	0
121.trim.bt2.sam	156	0	0	338	0	791	0	0	353	0	0.30857	0	0	1	0
122.trim.bt2.sam	207	0	4	4818	3	2725	0	5	7540	8	0.73487	0	0.001	0.998	0.001
123.trim.bt2.sam	64	0	0	27	0	119	0	0	27	0	0.18493	0	0	1	0
124.trim.bt2.sam	261	1	7	5116	2	4822	1	7	9016	8	0.65194	0	0.001	0.998	0.001
125.trim.bt2.sam	190	0	2	1176	1	2005	0	3	1422	2	0.41579	0	0.002	0.996	0.001
126.trim.bt2.sam	212	0	0	2430	2	2280	0	0	3058	2	0.57303	0	0	0.999	0.001
127.trim.bt2.sam	226	0	1	1303	1	2966	0	1	1491	1	0.33483	0	0.001	0.999	0.001
128.trim.bt2.sam	189	0	1	1976	1	1939	0	1	2666	1	0.57912	0	0	0.999	0
129.trim.bt2.sam	212	0	1	1222	1	2049	0	1	1452	3	0.41541	0	0.001	0.997	0.002
13.trim.bt2.sam	247	2	1	1213	1	5604	2	1	1465	1	0.20769	0.001	0.001	0.997	0.001
130.trim.bt2.sam	177	0	0	685	1	927	0	0	758	1	0.45018	0	0	0.999	0.001
131.trim.bt2.sam	155	0	0	308	1	596	0	0	316	1	0.34721	0	0	0.997	0.003
132.trim.bt2.sam	240	0	1	1783	1	3076	0	1	2270	1	0.42483	0	0	0.999	0
133.trim.bt2.sam	229	0	1	1300	0	2964	0	1	1745	0	0.3707	0	0.001	0.999	0
134.trim.bt2.sam	232	0	2	4660	2	3589	0	6	7909	4	0.68813	0	0.001	0.999	0.001
135.trim.bt2.sam	206	1	2	1593	1	1916	3	3	1956	1	0.50606	0.002	0.002	0.996	0.001
136.trim.bt2.sam	195	0	0	910	1	1382	0	0	1012	2	0.42321	0	0	0.998	0.002
137.trim.bt2.sam	215	1	1	1813	1	2659	1	1	2244	2	0.45812	0	0	0.998	0.001
138.trim.bt2.sam	205	1	1	1966	2	2427	1	1	2560	2	0.51372	0	0	0.998	0.001
139.trim.bt2.sam	197	0	0	2326	2	1514	0	0	3002	2	0.6649	0	0	0.999	0.001
14.trim.bt2.sam	242	0	1	4920	3	4738	0	4	8580	11	0.64464	0	0	0.998	0.001
140.trim.bt2.sam	397	0	2	8967	4	15389	0	16	32522	23	0.67906	0	0	0.999	0.001
141.trim.bt2.sam	235	1	1	5193	2	4624	1	2	10245	7	0.68923	0	0	0.999	0.001
142.trim.bt2.sam	135	1	0	263	1	429	1	0	274	1	0.39149	0.004	0	0.993	0.004
143.trim.bt2.sam	291	6	3	5776	3	6683	6	7	11798	11	0.63885	0.001	0.001	0.998	0.001
144.trim.bt2.sam	261	1	3	5034	2	4469	1	6	9215	2	0.67363	0	0.001	0.999	0
145.trim.bt2.sam	184	0	2	1733	1	1552	0	3	2247	2	0.59201	0	0.001	0.998	0.001
146.trim.bt2.sam	161	0	0	670	1	726	0	0	738	1	0.50444	0	0	0.999	0.001
147.trim.bt2.sam	127	0	0	570	0	454	0	0	613	0	0.57451	0	0	1	0
148.trim.bt2.sam	272	2	4	4811	3	5216	2	6	9481	5	0.64541	0	0.001	0.999	0.001
149.trim.bt2.sam	227	0	1	2535	2	3395	0	1	3569	5	0.51291	0	0	0.998	0.001
15.trim.bt2.sam	210	0	1	2592	2	3208	0	1	3383	2	0.5135	0	0	0.999	0.001
150.trim.bt2.sam	275	0	2	5314	2	5780	0	4	10886	5	0.65337	0	0	0.999	0
151.trim.bt2.sam	237	0	2	6599	4	4079	0	3	16019	18	0.79726	0	0	0.999	0.001
152.trim.bt2.sam	239	1	0	1790	1	3201	1	0	2263	1	0.41438	0	0	0.999	0
153.trim.bt2.sam	68	0	0	119	1	124	0	0	120	1	0.49388	0	0	0.992	0.008
154.trim.bt2.sam	179	1	1	2127	2	1636	3	1	2940	2	0.64295	0.001	0	0.998	0.001
155.trim.bt2.sam	173	0	0	494	0	1072	0	0	548	0	0.33827	0	0	1	0
156.trim.bt2.sam	182	0	0	1456	3	2081	0	0	1727	5	0.45424	0	0	0.997	0.003
157.trim.bt2.sam	272	0	4	10512	3	6038	0	17	48163	26	0.88869	0	0	0.999	0.001
158.trim.bt2.sam	245	1	1	6003	3	4299	1	3	12032	4	0.73689	0	0	0.999	0
159-1.trim.bt2.sam	251	0	2	5916	30	3721	0	8	13484	37	0.78429	0	0.001	0.997	0.003
159-2.trim.bt2.sam	214	0	2	5249	18	1976	0	4	9751	21	0.83186	0	0	0.997	0.002
159-3.trim.bt2.sam	221	0	3	5072	34	3629	0	7	10674	38	0.74707	0	0.001	0.996	0.004
16.trim.bt2.sam	262	0	3	2160	1	5728	0	3	2894	1	0.33596	0	0.001	0.999	0
160.trim.bt2.sam	245	0	2	6391	3	3546	0	3	14522	6	0.80384	0	0	0.999	0
161.trim.bt2.sam	223	0	2	5075	2	2531	0	2	7640	3	0.75128	0	0	0.999	0
162.trim.bt2.sam	260	0	3	4508	1	4523	0	4	6958	3	0.60628	0	0.001	0.999	0
163.trim.bt2.sam	144	0	1	587	0	443	0	1	620	0	0.58365	0	0.002	0.998	0
164.trim.bt2.sam	366	0	9	12747	63	13376	0	47	101291	113	0.88351	0	0	0.998	0.001
165.trim.bt2.sam	275	2	3	8411	4	4640	2	10	26388	23	0.85063	0	0	0.999	0.001
166.trim.bt2.sam	271	0	4	4944	2	6451	0	7	8214	5	0.56047	0	0.001	0.999	0.001
