Sample,zooxAlignedReads,mcavAlignedReads,mcavReadRatio,zooxReadRatio,site,depthZone,depth
2,220,134193,0.998363254,0.001636746,TER-North,Mesophotic,32.94
4,5479,2302874,0.997626446,0.002373554,TER-North,Mesophotic,33.855
5,29599,3949026,0.992560495,0.007439505,TER-North,Mesophotic,35.38
6,7982,2289721,0.996526096,0.003473904,TER-North,Mesophotic,35.38
7,11180,2290024,0.995141674,0.004858326,TER-North,Mesophotic,35.38
8,1497,2203040,0.999320946,0.000679054,TER-North,Mesophotic,34.77
9,33536,4550252,0.99268378,0.00731622,TER-North,Mesophotic,33.855
10,20497,6029160,0.996611874,0.003388126,TER-North,Mesophotic,32.94
12,8590,3866161,0.997783083,0.002216917,TER-North,Mesophotic,34.465
13,3284,3479142,0.999056979,0.000943021,TER-North,Mesophotic,36.905
14,17254,2796326,0.993867599,0.006132401,TER-North,Shallow,16.47
15,6960,2319302,0.997008076,0.002991924,TER-North,Shallow,16.165
16,6151,3563701,0.998276959,0.001723041,TER-North,Shallow,15.86
17,1527,734221,0.997924561,0.002075439,TER-North,Shallow,14.64
18,143,119143,0.9988012,0.0011988,TER-North,Shallow,14.64
19,10804,4987253,0.99783836,0.00216164,TER-North,Shallow,15.555
20,693,599012,0.998844432,0.001155568,TER-North,Shallow,12.505
21,640,480100,0.998668719,0.001331281,TER-North,Shallow,15.25
22,148399,11561540,0.98732709,0.01267291,TER-North,Shallow,14.945
23,239,208525,0.998855167,0.001144833,TER-North,Shallow,15.86
24,8221,9330395,0.999119677,0.000880323,TER-North,Shallow,16.165
26,1275,792691,0.998394138,0.001605862,TER-North,Shallow,17.08
27,3282,2173468,0.998492248,0.001507752,TER-North,Shallow,14.64
28,1360,1658311,0.99918056,0.00081944,TER-North,Shallow,13.725
29,10660,3464441,0.996932463,0.003067537,TER-North,Shallow,15.555
30,25108,3179601,0.992165279,0.007834721,TER-North,Shallow,15.555
31,5577,2400149,0.997681781,0.002318219,TER-North,Shallow,15.86
32,4179,2026381,0.997941947,0.002058053,TER-North,Shallow,15.86
33,2435,1135011,0.997859239,0.002140761,TER-North,Shallow,16.775
34,265,405286,0.999346568,0.000653432,TER-North,Shallow,17.08
36,176,228609,0.999230719,0.000769281,TER-North,Shallow,17.08
37,1710,827880,0.997938741,0.002061259,TER-North,Mesophotic,31.415
38,15430,1216570,0.987475649,0.012524351,TER-North,Mesophotic,30.5
39,916,792710,0.998845804,0.001154196,TER-North,Mesophotic,30.805
40,292,198893,0.998534026,0.001465974,TER-North,Mesophotic,30.5
41,4709,3547772,0.998674448,0.001325552,TER-North,Mesophotic,31.11
42,36484,5111043,0.992912325,0.007087675,TER-North,Mesophotic,31.11
44,8472,2355893,0.996416797,0.003583203,TER-North,Mesophotic,29.585
45,7291,1830957,0.996033723,0.003966277,TER-North,Mesophotic,30.805
46,4941,2834446,0.998259836,0.001740164,TER-North,Mesophotic,29.89
47,5558,1629743,0.996601237,0.003398763,TER-North,Mesophotic,29.585
48,19742,2520110,0.992227106,0.007772894,TER-North,Shallow,19.825
49,254,325910,0.999221251,0.000778749,TER-North,Shallow,20.13
50,11736,3998943,0.997073812,0.002926188,TER-North,Shallow,20.435
52,9177,2283418,0.995997112,0.004002888,TER-North,Shallow,20.435
53,9760,1521294,0.993625306,0.006374694,TER-North,Shallow,20.13
54,11422,2005350,0.994336494,0.005663506,TER-North,Mesophotic,29.585
55,8089,2456958,0.996718521,0.003281479,TER-North,Mesophotic,29.585
56,8185,1774943,0.995409752,0.004590248,TER-North,Mesophotic,30.5
60,9218,4088555,0.997750485,0.002249515,TER-North,Shallow,20.74
61,9223,2313037,0.996028438,0.003971562,TER-South,Mesophotic,33.245
62,7348,2960392,0.997524042,0.002475958,TER-South,Mesophotic,32.94
63,5109,2381348,0.997859169,0.002140831,TER-South,Mesophotic,32.94
64,37620,3140866,0.988164176,0.011835824,TER-South,Mesophotic,33.55
65,1003,525885,0.99809637,0.00190363,TER-South,Mesophotic,34.16
66,286,141614,0.997984496,0.002015504,TER-South,Mesophotic,33.855
67,4056,4532066,0.999105844,0.000894156,TER-South,Mesophotic,34.16
68,8517,1454231,0.994177398,0.005822602,TER-South,Mesophotic,33.855
69,1109,2223633,0.999501515,0.000498485,TER-South,Mesophotic,33.855
70,22199,4305576,0.994870574,0.005129426,TER-South,Mesophotic,34.16
71,17582,4596319,0.996189342,0.003810658,TER-South,Mesophotic,33.55
72,721,1245301,0.999421359,0.000578641,TER-South,Mesophotic,33.245
73,3065,2481867,0.998766566,0.001233434,TER-South,Mesophotic,32.94
74,2404,614776,0.996104864,0.003895136,TER-South,Mesophotic,32.635
75,23356,4175798,0.994437927,0.005562073,TER-South,Mesophotic,32.635
76,4965,2097993,0.99763904,0.00236096,TER-South,Mesophotic,32.33
77,16758,4280644,0.996100435,0.003899565,TER-South,Mesophotic,32.33
78,14490,3575405,0.99596367,0.00403633,TER-South,Mesophotic,31.415
79,3149,4887813,0.999356159,0.000643841,TER-South,Mesophotic,32.025
80,13213,2757356,0.995230944,0.004769056,TER-South,Mesophotic,32.025
82,8055,2318620,0.996537978,0.003462022,TER-South,Shallow,25.62
84,25557,1851198,0.986382346,0.013617654,TER-South,Shallow,25.315
85,103545,5171264,0.980369905,0.019630095,TER-South,Shallow,25.315
86,8900,1632189,0.994576772,0.005423228,TER-South,Shallow,25.315
87,682,323572,0.997896711,0.002103289,TER-South,Shallow,25.315
88,83961,2827829,0.97116516,0.02883484,TER-South,Shallow,25.315
89,20401,5375103,0.996218889,0.003781111,TER-South,Shallow,25.315
90,5849,2191365,0.997337993,0.002662007,TER-South,Shallow,25.01
91,16292,4867065,0.99666377,0.00333623,TER-South,Shallow,25.01
92,8570,1963960,0.995655326,0.004344674,TER-South,Shallow,25.62
93,7699,1489636,0.994858198,0.005141802,TER-South,Shallow,25.62
94,2636,381408,0.993136203,0.006863797,TER-South,Shallow,25.315
95,533,696302,0.999235113,0.000764887,TER-South,Shallow,25.315
96,5908,1974890,0.997017364,0.002982636,TER-South,Shallow,25.315
97,4013,1257226,0.996818208,0.003181792,TER-South,Shallow,25.315
98,4831,879002,0.994534035,0.005465965,TER-South,Shallow,25.315
99,289,105495,0.997268018,0.002731982,TER-South,Shallow,25.62
100,7140,1839061,0.996132599,0.003867401,TER-South,Shallow,25.315
101,51963,2915674,0.982490109,0.017509891,TER-South,Shallow,25.315
102,9979,2134643,0.995346966,0.004653034,TER-South,Shallow,25.62
103,4125,1290361,0.996813407,0.003186593,TER-South,Shallow,25.315
104,1496,1053712,0.99858227,0.00141773,TER-South,Shallow,25.315
105,4272,1157525,0.996322938,0.003677062,TER-South,Shallow,25.315
106,1900,1197867,0.998416359,0.001583641,TER-South,Shallow,25.315
107,2191,762389,0.997134374,0.002865626,TER-South,Mesophotic,37.21
108,8336,2384794,0.996516696,0.003483304,TER-South,Mesophotic,37.21
109,8214,2013900,0.995937914,0.004062086,TER-South,Mesophotic,37.21
110,1170,672493,0.998263227,0.001736773,TER-South,Mesophotic,37.21
111,23595,1228938,0.981162173,0.018837827,TER-South,Mesophotic,37.21
112,1145,666707,0.998285548,0.001714452,TER-South,Mesophotic,37.21
113,4942,2432192,0.997972208,0.002027792,TER-South,Mesophotic,37.21
114,95,241118,0.999606157,0.000393843,TER-South,Mesophotic,37.515
115,1115,571612,0.998053174,0.001946826,TER-South,Mesophotic,37.515
116,20238,6023628,0.996651481,0.003348519,TER-South,Mesophotic,37.21
117,144,206445,0.999302964,0.000697036,TER-South,Mesophotic,36.905
118,21482,2918021,0.992691962,0.007308038,TER-South,Shallow,27.755
119,6530,1342145,0.995158211,0.004841789,TER-South,Shallow,27.755
120,6870,2240331,0.996942864,0.003057136,TER-South,Shallow,27.45
121,875,516596,0.998309084,0.001690916,TER-South,Shallow,27.145
122,15070,1842118,0.991885582,0.008114418,TER-South,Mesophotic,44.835
123,90,98549,0.999087582,0.000912418,TER-South,Mesophotic,44.225
124,17882,2962705,0.994000511,0.005999489,TER-South,Mesophotic,44.835
125,2955,1363812,0.997837964,0.002162036,TER-South,Mesophotic,44.835
126,6127,1341412,0.995453193,0.004546807,TER-South,Mesophotic,44.225
127,3155,1542632,0.997958968,0.002041032,TER-South,Mesophotic,43.31
128,5433,1405266,0.996148718,0.003851282,Lower Keys,Shallow,18.3
129,3018,1185167,0.997459991,0.002540009,Lower Keys,Shallow,18.3
130,1619,624902,0.997415889,0.002584111,Lower Keys,Shallow,17.995
131,662,381119,0.998266022,0.001733978,Lower Keys,Shallow,16.775
132,4597,1987662,0.997692569,0.002307431,Lower Keys,Shallow,17.995
133,3573,1708737,0.997913345,0.002086655,Lower Keys,Shallow,17.385
134,15529,2020368,0.992372404,0.007627596,Lower Keys,Shallow,17.995
135,4518,1240666,0.996371621,0.003628379,Lower Keys,Shallow,17.69
136,2189,882912,0.997526836,0.002473164,Lower Keys,Shallow,17.69
137,4531,1599735,0.997175655,0.002824345,Lower Keys,Shallow,17.69
138,5160,1563547,0.996710667,0.003289333,Lower Keys,Shallow,17.69
139,6063,937591,0.993574976,0.006425024,Lower Keys,Shallow,17.995
140,63551,7870374,0.991989967,0.008010033,Lower Keys,Shallow,17.69
141,20297,2960574,0.993190916,0.006809084,Lower Keys,Shallow,17.995
142,684,373102,0.998170076,0.001829924,Lower Keys,Shallow,17.385
143,23258,3659973,0.993685435,0.006314565,Lower Keys,Shallow,17.69
144,18283,2513094,0.992777449,0.007222551,Lower Keys,Shallow,18.3
145,4542,1050657,0.995695599,0.004304401,Lower Keys,Shallow,18.605
146,1564,586828,0.997341908,0.002658092,Lower Keys,Shallow,17.385
147,1256,362978,0.996551667,0.003448333,Lower Keys,Shallow,17.995
148,19090,2773919,0.993165078,0.006834922,Lower Keys,Shallow,17.385
149,7132,2258388,0.996851937,0.003148063,Lower Keys,Shallow,17.385
150,21545,3400879,0.993704754,0.006295246,Lower Keys,Shallow,17.385
151,30882,2330244,0.986920647,0.013079353,Lower Keys,Shallow,17.385
152,4586,1931735,0.997631591,0.002368409,Lower Keys,Shallow,17.69
153,263,132656,0.998021351,0.001978649,Lower Keys,Shallow,17.385
154,6204,1200331,0.994858002,0.005141998,Lower Keys,Shallow,17.995
155,1186,819420,0.998554727,0.001445273,Lower Keys,Shallow,17.995
156,3588,1706498,0.99790186,0.00209814,Lower Keys,Shallow,18.605
157,94159,3309434,0.972335411,0.027664589,Lower Keys,Mesophotic,32.635
158,23913,2584959,0.99083397,0.00916603,Lower Keys,Mesophotic,32.635
159,26412,2517213,0.989616394,0.010383606,Lower Keys,Mesophotic,32.025
160,28577,2228284,0.987337723,0.012662277,Lower Keys,Mesophotic,32.33
161,15329,1632344,0.990696576,0.009303424,Lower Keys,Mesophotic,31.11
162,13725,2749351,0.99503271,0.00496729,Lower Keys,Mesophotic,31.11
163,1314,383625,0.996586472,0.003413528,Lower Keys,Mesophotic,30.805
164,194679,7150348,0.973495128,0.026504872,Lower Keys,Mesophotic,30.195
165,50985,2790094,0.982054353,0.017945647,Lower Keys,Mesophotic,31.11
166,16240,3599105,0.995508036,0.004491964,Lower Keys,Mesophotic,30.5
167,6859,2949618,0.997680009,0.002319991,Lower Keys,Mesophotic,31.11
