sample,fracZ,depth,site,depthZone
2,0.34361,32.94,TER-North,Mesophotic
4,0.44439,33.855,TER-North,Mesophotic
5,0.67607,35.38,TER-North,Mesophotic
6,0.53217,35.38,TER-North,Mesophotic
7,0.59072,35.38,TER-North,Mesophotic
8,0.1277,34.77,TER-North,Mesophotic
9,0.45715,33.855,TER-North,Mesophotic
10,0.46023,32.94,TER-North,Mesophotic
12,0.37278,34.465,TER-North,Mesophotic
13,0.20769,36.905,TER-North,Mesophotic
14,0.64464,16.47,TER-North,Shallow
15,0.5135,16.165,TER-North,Shallow
16,0.33596,15.86,TER-North,Shallow
17,0.41418,14.64,TER-North,Shallow
18,0.33668,14.64,TER-North,Shallow
19,0.37408,15.555,TER-North,Shallow
20,0.24436,12.505,TER-North,Shallow
21,0.32308,15.25,TER-North,Shallow
22,0.76513,14.945,TER-North,Shallow
23,0.28954,15.86,TER-North,Shallow
24,0.18811,16.165,TER-North,Shallow
26,0.32659,17.08,TER-North,Shallow
27,0.29494,14.64,TER-North,Shallow
28,0.18357,13.725,TER-North,Shallow
29,0.4823,15.555,TER-North,Shallow
30,0.70273,15.555,TER-North,Shallow
31,0.41012,15.86,TER-North,Shallow
32,0.37422,15.86,TER-North,Shallow
33,0.39364,16.775,TER-North,Shallow
34,0.18409,17.08,TER-North,Shallow
36,0.17825,17.08,TER-North,Shallow
37,0.40421,31.415,TER-North,Mesophotic
38,0.82233,30.5,TER-North,Mesophotic
39,0.28203,30.805,TER-North,Mesophotic
40,0.35473,30.5,TER-North,Mesophotic
41,0.26743,31.11,TER-North,Mesophotic
42,0.66441,31.11,TER-North,Mesophotic
44,0.52026,29.585,TER-North,Mesophotic
45,0.54441,30.805,TER-North,Mesophotic
46,0.34128,29.89,TER-North,Mesophotic
47,0.51188,29.585,TER-North,Mesophotic
48,0.69049,19.825,TER-North,Shallow
49,0.23144,20.13,TER-North,Shallow
50,0.45287,20.435,TER-North,Shallow
52,0.5433,20.435,TER-North,Shallow
53,0.68235,20.13,TER-North,Shallow
54,0.64049,29.585,TER-North,Mesophotic
55,0.50761,29.585,TER-North,Mesophotic
56,0.58742,30.5,TER-North,Mesophotic
60,0.3827,20.74,TER-North,Shallow
61,0.56209,33.245,TER-South,Mesophotic
62,0.43108,32.94,TER-South,Mesophotic
63,0.40162,32.94,TER-South,Mesophotic
64,0.78159,33.55,TER-South,Mesophotic
65,0.39163,34.16,TER-South,Mesophotic
66,0.44364,33.855,TER-South,Mesophotic
67,0.19754,34.16,TER-South,Mesophotic
68,0.69213,33.855,TER-South,Mesophotic
69,0.12497,33.855,TER-South,Mesophotic
70,0.59932,34.16,TER-South,Mesophotic
71,0.52862,33.55,TER-South,Mesophotic
72,0.12389,33.245,TER-South,Mesophotic
73,0.28075,32.94,TER-South,Mesophotic
74,0.59223,32.635,TER-South,Mesophotic
75,0.62141,32.635,TER-South,Mesophotic
76,0.44694,32.33,TER-South,Mesophotic
77,0.53577,32.33,TER-South,Mesophotic
78,0.5504,31.415,TER-South,Mesophotic
79,0.14856,32.025,TER-South,Mesophotic
80,0.57905,32.025,TER-South,Mesophotic
82,0.51165,25.62,TER-South,Shallow
84,0.83426,25.315,TER-South,Shallow
85,0.85308,25.315,TER-South,Shallow
