name	term	lev	seq	value
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365;GO:0043891	6	isogroup13230	-2.3
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365;GO:0043891	6	isogroup23049	-0.6
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365;GO:0043891	6	isogroup25636	-2.6
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365;GO:0043891	6	isogroup31610	-0.1
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365;GO:0043891	6	isogroup31720	1.8
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365;GO:0043891	6	isogroup35123	-0.3
"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365;GO:0043891	6	isogroup9831	-10
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup15315	-0.6
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup18670	0.1
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup20246	0
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup21586	0.3
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup21964	0
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup3316	-1.2
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup6957	2
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup8838	-0.8
"obsolete leucyl aminopeptidase activity"	GO:0004178	-1	isogroup9904	-0.8
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup1238	-3.8
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup12458	0.6
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup1255	3.5
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup1283	-0.4
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup1607	-1.5
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup178	0.7
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup185	1.1
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup1860	-2.4
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup19183	-0.2
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup19292	2.1
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup1938	0.1
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup19908	0.6
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup2025	0
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup20808	1
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup21997	1.1
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup2303	2.3
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup246	10
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup269	1.9
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup2731	0.2
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup3068	0.7
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup39334	0.5
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup4346	3.5
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup686	-2.3
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup733	0.4
"guanyl-nucleotide exchange factor activity"	GO:0005085	2	isogroup7688	-0.5
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	GO:0016705	2	isogroup10033	0.4
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	GO:0016705	2	isogroup10197	0
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	GO:0016705	2	isogroup10241	0.2
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	GO:0016705	2	isogroup10323	-2.3
