name	term	lev	seq	value
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa04749	1
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa04750	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa05449	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa05659	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa05867	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa05895	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa06079	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa12316	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa12470	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa13202	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa13398	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa13632	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa13783	1
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa28059	1
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa28691	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa08721	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa09033	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa09244	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa09249	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa14481	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa14500	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa14881	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa14883	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa14884	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa15134	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa15190	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa31719	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa32033	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa32025	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa32498	0
"phosphotransferase activity, alcohol group as acceptor"	GO:0004672;GO:0016773	3	Mcavernosa18565	0
