"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.478571528333774 5 49 "GO:0000009;GO:0000033;GO:0003980;GO:0004376;GO:0004576;GO:0004583;GO:0008921;GO:0016759;GO:0018715;GO:0018716;GO:0019112;GO:0018717;GO:0018718;GO:0019187;GO:0042281;GO:0042283;GO:0046920;GO:0046921" "oligosaccharyl transferase activity" 1
0 0.641091241238491 4 47 "GO:0000030;GO:0000026" "mannosyltransferase activity" 1
0 0.0768284457533042 7 6 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 0.827322404371585
0 0.179966122411652 2 6 "GO:0000104;GO:0008177;GO:0016635" "oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor" 0.962627986348123
0 0.588720607807928 2 5 "GO:0000155;GO:0004673;GO:0140299" "phosphorelay sensor kinase activity" 1
0 0.109993386268834 3 18 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.911187214611872
0 0.57792970650469 3 11 "GO:0000179;GO:0016433" "rRNA (adenine) methyltransferase activity" 1
0 0.833320426274377 3 6 "GO:0000252;GO:0000253;GO:0004495;GO:0018451;GO:0018452;GO:0018453;GO:0048258" "mevaldate reductase activity" 1
0 0.780079122996814 6 55 "GO:0000810;GO:0004787;GO:0017110;GO:0008758;GO:0008796;GO:0004551;GO:0008828;GO:0047429;GO:0019176;GO:0019177" "nucleotide diphosphatase activity" 1
0 0.23472035973853 -1 5 "GO:0001509" "obsolete legumain activity" 1
0 0.0609010119075245 2 13 "GO:0001517;GO:0001537;GO:0004394;GO:0015016;GO:0016232;GO:0017095;GO:0018721;GO:0018722;GO:0019111;GO:0018723;GO:0018724;GO:0018725;GO:0018726;GO:0018727;GO:0050659;GO:0050698" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.755454545454545
0 0.83214093714288 -1 129 "GO:0001584" "obsolete rhodopsin-like receptor activity" 1
0 0.406662629882269 3 8 "GO:0001614;GO:0016502" "nucleotide receptor activity" 1
0 0.0812899322285413 5 13 "GO:0001641;GO:0001640;GO:0098988" "G protein-coupled glutamate receptor activity" 0.83968253968254
0 0.340693444287275 2 8 "GO:0001733" "galactosylceramide sulfotransferase activity" 1
0 0.314822239581239 2 776 "GO:0003677" "DNA binding" 1
0 0.109662685637466 2 17 "GO:0003682" "chromatin binding" 0.913073394495413
0 0.390988379884048 2 24 "GO:0003684" "damaged DNA binding" 1
0 0.0154356229003241 2 6 "GO:0003697" "single-stranded DNA binding" 0.440697674418605
0 0.990827073299497 2 314 "GO:0003700;GO:0140110" "transcription regulator activity" 1
0 0.958517345657868 -1 8 "GO:0003702" "obsolete RNA polymerase II transcription factor activity" 1
0 0.0633336424658645 3 12 "GO:0003713;GO:0003712" "transcription coregulator activity" 0.76301775147929
0 0.212069880959849 4 245 "GO:0003723" "RNA binding" 0.992452830188679
0 0.112133193769743 2 18 "GO:0003725" "double-stranded RNA binding" 0.90762331838565
0 0.144265639951895 2 5 "GO:0003726" "double-stranded RNA adenosine deaminase activity" 0.951771653543307
0 0.996572292797451 2 174 "GO:0003735" "structural constituent of ribosome" 1
0 0.118532730816506 3 65 "GO:0003743" "translation initiation factor activity" 0.912554112554113
0 0.4233112795418 2 29 "GO:0003746" "translation elongation factor activity" 1
0 0.0295411848804769 4 5 "GO:0003747;GO:0008079" "translation release factor activity" 0.603669724770642
0 0.643763006261842 3 43 "GO:0003755;GO:0016859;GO:0004600;GO:0030051;GO:0042027" "cis-trans isomerase activity" 1
0 0.452884804963805 3 31 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.00796986102210492 -1 8 "GO:0003763" "obsolete chaperonin ATPase activity" 0.326190476190476
