"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 6 "GO:0000062;GO:0120227;GO:1901567" "fatty-acyl-CoA binding" 1
0 1 2 5 "GO:0000146" "microfilament motor activity" 1
0 1 2 5 "GO:0000149" "SNARE binding" 1
0 0.971396992910264 3 156 "GO:0000166;GO:1901265;GO:0097367" "nucleotide binding" 1
0 1 2 17 "GO:0000287" "magnesium ion binding" 1
0 0.682290138465171 3 26 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.56650953306025 4 19 "GO:0000977" "RNA polymerase II transcription regulatory region sequence-specific DNA binding" 1
0 0.409423359304908 4 12 "GO:0000978;GO:0000987" "cis-regulatory region sequence-specific DNA binding" 1
0 0.0755915473977321 3 38 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.179130443363914 -1 52 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 1
0 0.475917729111212 2 37 "GO:0001067" "regulatory region nucleic acid binding" 1
0 0.32604030923843 -1 9 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 0.295749986058135 5 8 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 0.231093662345139 -1 6 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 1 4 7 "GO:0001227;GO:0001217" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 1 3 12 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 1 3 6 "GO:0001540" "amyloid-beta binding" 1
0 1 4 7 "GO:0001653;GO:0008528;GO:0008188" "G protein-coupled peptide receptor activity" 1
0 1 2 16 "GO:0001664" "G protein-coupled receptor binding" 1
0 1 3 8 "GO:0001784;GO:0045309;GO:0051219" "phosphoprotein binding" 1
0 0.826595493068381 4 102 "GO:0001882;GO:0001883;GO:0017076;GO:0032549;GO:0032550;GO:0032553;GO:0032555;GO:0035639" "purine nucleotide binding" 1
0 0.308113024169571 2 150 "GO:0003677" "DNA binding" 1
0 1 3 21 "GO:0003678;GO:0008094" "DNA-dependent ATPase activity" 1
0 0.557677850990099 2 43 "GO:0003682" "chromatin binding" 1
0 0.278159879342754 2 43 "GO:0003690" "double-stranded DNA binding" 1
0 1 3 10 "GO:0003697" "single-stranded DNA binding" 1
0 0.0423675494790401 2 111 "GO:0003700;GO:0140110" "transcription regulator activity" 0.944444444444444
0 0.401462407997396 2 32 "GO:0003713" "transcription coactivator activity" 1
0 0.482631503484543 2 15 "GO:0003714" "transcription corepressor activity" 1
0 0.890392565955032 2 85 "GO:0003723" "RNA binding" 1
0 1 5 9 "GO:0003725" "double-stranded RNA binding" 1
0 1 2 7 "GO:0003727" "single-stranded RNA binding" 1
0 0.767499799388691 2 33 "GO:0003729" "mRNA binding" 1
0 1 3 7 "GO:0003730" "mRNA 3'-UTR binding" 1
0 1 2 11 "GO:0003735" "structural constituent of ribosome" 1
0 1 3 6 "GO:0003743" "translation initiation factor activity" 1
0 1 3 6 "GO:0003756;GO:0016864;GO:0016862" "protein disulfide isomerase activity" 1
0 1 2 33 "GO:0003774;GO:0003777" "motor activity" 1
0 0.208279467715168 4 37 "GO:0003779" "actin binding" 1
0 1 2 5 "GO:0003823" "antigen binding" 1
0 1 2 5 "GO:0003851" "2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity" 1
0 0.0165770667209129 3 5 "GO:0003887" "DNA-directed DNA polymerase activity" 0.8
0 1 2 36 "GO:0003924" "GTPase activity" 1
0 1 3 8 "GO:0003943;GO:0008484" "sulfuric ester hydrolase activity" 1
0 1 3 6 "GO:0003954;GO:0008137;GO:0050136;GO:0003955" "NADH dehydrogenase (ubiquinone) activity" 1
0 1 2 5 "GO:0004030" "aldehyde dehydrogenase [NAD(P)+] activity" 1
0 1 6 5 "GO:0004112;GO:0004114" "cyclic-nucleotide phosphodiesterase activity" 1
0 0.942747770607822 4 64 "GO:0004175" "endopeptidase activity" 1
0 0.459280598141109 4 14 "GO:0004180" "carboxypeptidase activity" 1
0 0.382824552123708 2 11 "GO:0004181;GO:0008235" "metalloexopeptidase activity" 1
0 0.56650953306025 2 19 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 1
0 1 -1 6 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 1
0 0.709361455674994 2 28 "GO:0004222" "metalloendopeptidase activity" 1
0 0.00136312376884011 3 6 "GO:0004322;GO:0016724;GO:0016722" "oxidoreductase activity, oxidizing metal ions" 0.3
0 1 3 29 "GO:0004386;GO:0070035" "helicase activity" 1
0 1 2 5 "GO:0004407;GO:0033558" "histone deacetylase activity" 1
0 1 3 19 "GO:0004497" "monooxygenase activity" 1
0 0.667838517187112 2 25 "GO:0004518" "nuclease activity" 1
0 1 3 12 "GO:0004519" "endonuclease activity" 1
0 1 2 6 "GO:0004520" "endodeoxyribonuclease activity" 1
0 1 2 5 "GO:0004521" "endoribonuclease activity" 1
0 0.482631503484543 3 15 "GO:0004527" "exonuclease activity" 1
0 1 2 5 "GO:0004532" "exoribonuclease activity" 1
0 0.355047316776252 3 10 "GO:0004536" "deoxyribonuclease activity" 1
0 1 2 10 "GO:0004540" "ribonuclease activity" 1
