sample,pop,cluster1,cluster2,cluster3,cluster4
2,TER-North-Mesophotic,0.562961168,0.33523674,0.000000001,0.101802091
4,TER-North-Mesophotic,1.63E-06,1.00E-09,0.002045998,0.997952376
5,TER-North-Mesophotic,0.14394938,1.08E-09,0.02474949,0.831301128
6,TER-North-Mesophotic,0.067027041,1.00E-09,1.00E-09,0.932972957
7,TER-North-Mesophotic,0.108154056,1.00E-09,1.00E-09,0.891845942
8,TER-North-Mesophotic,6.17E-07,1.00E-09,1.00E-09,0.999999381
9,TER-North-Mesophotic,1.00E-09,1.00E-09,0.999999997,1.00E-09
10,TER-North-Mesophotic,0.999999997,1.00E-09,1.00E-09,1.00E-09
12,TER-North-Mesophotic,0.072527421,1.00E-09,1.00E-09,0.927472577
13,TER-North-Mesophotic,1.00E-09,1.00E-09,0.999999997,1.00E-09
14,TER-North-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
15,TER-North-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
16,TER-North-Shallow,0.000000001,0.156329016,0.684478579,0.159192404
17,TER-North-Shallow,3.17E-06,0.190884021,0.668412291,0.140700516
18,TER-North-Shallow,0.205345179,0.513784149,0.280798594,7.21E-05
19,TER-North-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
20,TER-North-Shallow,0.102514365,0.266325436,0.605898916,0.025261283
21,TER-North-Shallow,0.529316699,0.285901187,0.112069188,0.072712927
22,TER-North-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
23,TER-North-Shallow,0.000000001,0.617392179,0.328291642,0.054316178
24,TER-North-Shallow,1.00E-09,0.183016924,0.683590356,0.133392719
26,TER-North-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
27,TER-North-Shallow,1.00E-09,0.999999997,1.00E-09,1.00E-09
28,TER-North-Shallow,0.112111414,1.00E-09,0.02412179,0.863766795
29,TER-North-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
30,TER-North-Shallow,1.00E-09,1.00E-09,0.999999997,1.00E-09
31,TER-North-Shallow,0.000000001,0.161972682,0.670642881,0.167384436
32,TER-North-Shallow,0.028864613,0.019736121,0.000000001,0.951399265
33,TER-North-Shallow,0.073303565,1.00E-09,1.00E-09,0.926696433
