sample	popdepth
002	TER-North-Mesophotic
004	TER-North-Mesophotic
005	TER-North-Mesophotic
006	TER-North-Mesophotic
007	TER-North-Mesophotic
008	TER-North-Mesophotic
009	TER-North-Mesophotic
010	TER-North-Mesophotic
012	TER-North-Mesophotic
013	TER-North-Mesophotic
014	TER-North-Shallow
015	TER-North-Shallow
016	TER-North-Shallow
017	TER-North-Shallow
018	TER-North-Shallow
019	TER-North-Shallow
020	TER-North-Shallow
021	TER-North-Shallow
022	TER-North-Shallow
023	TER-North-Shallow
024	TER-North-Shallow
026	TER-North-Shallow
027	TER-North-Shallow
028	TER-North-Shallow
029	TER-North-Shallow
030	TER-North-Shallow
031	TER-North-Shallow
032	TER-North-Shallow
033	TER-North-Shallow
034	TER-North-Shallow
036	TER-North-Shallow
037	TER-North-Mesophotic
038	TER-North-Mesophotic
039	TER-North-Mesophotic
040	TER-North-Mesophotic
041	TER-North-Mesophotic
042	TER-North-Mesophotic
044	TER-North-Mesophotic
045	TER-North-Mesophotic
046	TER-North-Mesophotic
047	TER-North-Mesophotic
048	TER-North-Shallow
049	TER-North-Shallow
050	TER-North-Shallow
052	TER-North-Shallow
053	TER-North-Shallow
054	TER-North-Mesophotic
055	TER-North-Mesophotic
056	TER-North-Mesophotic
060	TER-North-Shallow
061	TER-South-Mesophotic
062	TER-South-Mesophotic
063	TER-South-Mesophotic
064	TER-South-Mesophotic
065	TER-South-Mesophotic
066	TER-South-Mesophotic
067	TER-South-Mesophotic
068	TER-South-Mesophotic
069	TER-South-Mesophotic
070	TER-South-Mesophotic
071	TER-South-Mesophotic
072	TER-South-Mesophotic
073	TER-South-Mesophotic
074	TER-South-Mesophotic
075	TER-South-Mesophotic
076	TER-South-Mesophotic
077	TER-South-Mesophotic
078	TER-South-Mesophotic
079	TER-South-Mesophotic
080	TER-South-Mesophotic
082	TER-South-Shallow
084	TER-South-Shallow
085	TER-South-Shallow
086	TER-South-Shallow
087	TER-South-Shallow
088	TER-South-Shallow
089	TER-South-Shallow
090	TER-South-Shallow
091	TER-South-Shallow
092	TER-South-Shallow
093	TER-South-Shallow
094	TER-South-Shallow
095	TER-South-Shallow
096	TER-South-Shallow
097	TER-South-Shallow
098	TER-South-Shallow
099	TER-South-Shallow
100	TER-South-Shallow
101	TER-South-Shallow
102	TER-South-Shallow
103	TER-South-Shallow
104	TER-South-Shallow
105	TER-South-Shallow
106	TER-South-Shallow
107	TER-South-Mesophotic
108	TER-South-Mesophotic
109	TER-South-Mesophotic
110	TER-South-Mesophotic
111	TER-South-Mesophotic
112	TER-South-Mesophotic
113	TER-South-Mesophotic
114	TER-South-Mesophotic
115	TER-South-Mesophotic
116	TER-South-Mesophotic
117	TER-South-Mesophotic
118	TER-South-Shallow
119	TER-South-Shallow
120	TER-South-Shallow
121	TER-South-Shallow
122	TER-South-Mesophotic
123	TER-South-Mesophotic
124	TER-South-Mesophotic
125	TER-South-Mesophotic
126	TER-South-Mesophotic
127	TER-South-Mesophotic
128	Lower Keys-Shallow
129	Lower Keys-Shallow
130	Lower Keys-Shallow
131	Lower Keys-Shallow
132	Lower Keys-Shallow
133	Lower Keys-Shallow
134	Lower Keys-Shallow
135	Lower Keys-Shallow
136	Lower Keys-Shallow
137	Lower Keys-Shallow
138	Lower Keys-Shallow
139	Lower Keys-Shallow
140	Lower Keys-Shallow
141	Lower Keys-Shallow
142	Lower Keys-Shallow
143	Lower Keys-Shallow
144	Lower Keys-Shallow
145	Lower Keys-Shallow
146	Lower Keys-Shallow
147	Lower Keys-Shallow
148	Lower Keys-Shallow
149	Lower Keys-Shallow
150	Lower Keys-Shallow
151	Lower Keys-Shallow
152	Lower Keys-Shallow
153	Lower Keys-Shallow
154	Lower Keys-Shallow
155	Lower Keys-Shallow
156	Lower Keys-Shallow
157	Lower Keys-Mesophotic
158	Lower Keys-Mesophotic
159	Lower Keys-Mesophotic
160	Lower Keys-Mesophotic
161	Lower Keys-Mesophotic
162	Lower Keys-Mesophotic
163	Lower Keys-Mesophotic
164	Lower Keys-Mesophotic
165	Lower Keys-Mesophotic
166	Lower Keys-Mesophotic
167	Lower Keys-Mesophotic
168	Lower Keys-Mesophotic
169	Lower Keys-Mesophotic
170	Lower Keys-Shallow
171	Upper Keys-Mesophotic
172	Upper Keys-Mesophotic
173	Upper Keys-Mesophotic
174	Upper Keys-Mesophotic
175	Upper Keys-Mesophotic
176	Upper Keys-Mesophotic
177	Upper Keys-Mesophotic
178	Upper Keys-Mesophotic
179	Upper Keys-Shallow
180	Upper Keys-Shallow
181	Upper Keys-Shallow
182	Upper Keys-Shallow
183	Upper Keys-Shallow
184	Upper Keys-Shallow
185	Upper Keys-Shallow
186	Upper Keys-Shallow
187	Upper Keys-Mesophotic
188	Upper Keys-Mesophotic
189	Upper Keys-Mesophotic
190	Upper Keys-Mesophotic
191	Upper Keys-Mesophotic
192	Upper Keys-Mesophotic
