sample,popdepth,heterozygosity
2,TER-North-Mesophotic,0.0035
4,TER-North-Mesophotic,0.0024
5,TER-North-Mesophotic,0.0023
6,TER-North-Mesophotic,0.0023
7,TER-North-Mesophotic,0.0023
8,TER-North-Mesophotic,0.0023
9,TER-North-Mesophotic,0.0021
10,TER-North-Mesophotic,0.0021
12,TER-North-Mesophotic,0.0022
13,TER-North-Mesophotic,0.0023
14,TER-North-Shallow,0.0022
15,TER-North-Shallow,0.0023
16,TER-North-Shallow,0.0023
17,TER-North-Shallow,0.0035
18,TER-North-Shallow,0.004
19,TER-North-Shallow,0.0022
20,TER-North-Shallow,0.0037
21,TER-North-Shallow,0.0035
22,TER-North-Shallow,0.0022
23,TER-North-Shallow,0.0042
24,TER-North-Shallow,0.0023
26,TER-North-Shallow,0.0024
27,TER-North-Shallow,0.0022
28,TER-North-Shallow,0.0023
29,TER-North-Shallow,0.0023
30,TER-North-Shallow,0.0023
31,TER-North-Shallow,0.0024
32,TER-North-Shallow,0.0024
33,TER-North-Shallow,0.0024
34,TER-North-Shallow,0.0028
36,TER-North-Shallow,0.0033
37,TER-North-Mesophotic,0.0025
38,TER-North-Mesophotic,0.0025
39,TER-North-Mesophotic,0.0028
40,TER-North-Mesophotic,0.0033
41,TER-North-Mesophotic,0.0022
42,TER-North-Mesophotic,0.0022
44,TER-North-Mesophotic,0.0025
45,TER-North-Mesophotic,0.0024
46,TER-North-Mesophotic,0.0023
47,TER-North-Mesophotic,0.0023
48,TER-North-Shallow,0.0021
49,TER-North-Shallow,0.003
50,TER-North-Shallow,0.0023
52,TER-North-Shallow,0.0026
53,TER-North-Shallow,0.0022
54,TER-North-Mesophotic,0.0023
55,TER-North-Mesophotic,0.0021
56,TER-North-Mesophotic,0.0022
60,TER-North-Shallow,0.0021
61,TER-South-Mesophotic,0.0024
62,TER-South-Mesophotic,0.0022
63,TER-South-Mesophotic,0.0022
64,TER-South-Mesophotic,0.0024
65,TER-South-Mesophotic,0.0031
66,TER-South-Mesophotic,0.0036
67,TER-South-Mesophotic,0.0022
68,TER-South-Mesophotic,0.0026
69,TER-South-Mesophotic,0.0023
70,TER-South-Mesophotic,0.0022
71,TER-South-Mesophotic,0.0022
72,TER-South-Mesophotic,0.0024
73,TER-South-Mesophotic,0.0021
74,TER-South-Mesophotic,0.0029
75,TER-South-Mesophotic,0.0022
76,TER-South-Mesophotic,0.0023
77,TER-South-Mesophotic,0.0022
78,TER-South-Mesophotic,0.0022
79,TER-South-Mesophotic,0.0023
80,TER-South-Mesophotic,0.0024
82,TER-South-Shallow,0.0023
84,TER-South-Shallow,0.0024
85,TER-South-Shallow,0.0023
86,TER-South-Shallow,0.0025
87,TER-South-Shallow,0.0036
88,TER-South-Shallow,0.0023
89,TER-South-Shallow,0.0022
90,TER-South-Shallow,0.0022
91,TER-South-Shallow,0.0023
92,TER-South-Shallow,0.0025
93,TER-South-Shallow,0.0027
94,TER-South-Shallow,0.0038
95,TER-South-Shallow,0.003
96,TER-South-Shallow,0.0024
97,TER-South-Shallow,0.0023
98,TER-South-Shallow,0.0023
99,TER-South-Shallow,0.003
100,TER-South-Shallow,0.0024
101,TER-South-Shallow,0.0023
102,TER-South-Shallow,0.0023
103,TER-South-Shallow,0.0026
104,TER-South-Shallow,0.0024
105,TER-South-Shallow,0.0026
106,TER-South-Shallow,0.0024
107,TER-South-Mesophotic,0.0024
108,TER-South-Mesophotic,0.0022
109,TER-South-Mesophotic,0.0023
110,TER-South-Mesophotic,0.0026
111,TER-South-Mesophotic,0.0027
112,TER-South-Mesophotic,0.0027
113,TER-South-Mesophotic,0.0022
114,TER-South-Mesophotic,0.0032
115,TER-South-Mesophotic,0.0032
116,TER-South-Mesophotic,0.0021
117,TER-South-Mesophotic,0.0032
118,TER-South-Shallow,0.0024
119,TER-South-Shallow,0.0023
120,TER-South-Shallow,0.0024
121,TER-South-Shallow,0.0025
122,TER-South-Mesophotic,0.0024
123,TER-South-Mesophotic,0.0036
124,TER-South-Mesophotic,0.0023
125,TER-South-Mesophotic,0.0024
126,TER-South-Mesophotic,0.0023
127,TER-South-Mesophotic,0.0023
128,Lower Keys-Shallow,0.0024
129,Lower Keys-Shallow,0.0024
130,Lower Keys-Shallow,0.0026
131,Lower Keys-Shallow,0.0029
132,Lower Keys-Shallow,0.0024
133,Lower Keys-Shallow,0.0021
134,Lower Keys-Shallow,0.0022
135,Lower Keys-Shallow,0.0023
136,Lower Keys-Shallow,0.0025
137,Lower Keys-Shallow,0.0023
138,Lower Keys-Shallow,0.0024
139,Lower Keys-Shallow,0.0026
140,Lower Keys-Shallow,0.0022
141,Lower Keys-Shallow,0.0023
142,Lower Keys-Shallow,0.0033
143,Lower Keys-Shallow,0.0022
144,Lower Keys-Shallow,0.0022
145,Lower Keys-Shallow,0.0025
146,Lower Keys-Shallow,0.0029
147,Lower Keys-Shallow,0.003
148,Lower Keys-Shallow,0.0022
149,Lower Keys-Shallow,0.0022
150,Lower Keys-Shallow,0.0023
151,Lower Keys-Shallow,0.0022
152,Lower Keys-Shallow,0.0022
153,Lower Keys-Shallow,0.0034
154,Lower Keys-Shallow,0.0024
155,Lower Keys-Shallow,0.0026
156,Lower Keys-Shallow,0.0024
157,Lower Keys-Mesophotic,0.0024
158,Lower Keys-Mesophotic,0.0022
159,Lower Keys-Mesophotic,0.0023
160,Lower Keys-Mesophotic,0.0023
161,Lower Keys-Mesophotic,0.0024
162,Lower Keys-Mesophotic,0.0023
163,Lower Keys-Mesophotic,0.0035
164,Lower Keys-Mesophotic,0.0023
165,Lower Keys-Mesophotic,0.0022
166,Lower Keys-Mesophotic,0.0023
167,Lower Keys-Mesophotic,0.0024
168,Lower Keys-Mesophotic,0.0023
169,Lower Keys-Mesophotic,0.0022
170,Lower Keys-Shallow,0.0022
171,Upper Keys-Mesophotic,0.0021
172,Upper Keys-Mesophotic,0.0022
173,Upper Keys-Mesophotic,0.0025
174,Upper Keys-Mesophotic,0.0023
175,Upper Keys-Mesophotic,0.0021
176,Upper Keys-Mesophotic,0.0021
177,Upper Keys-Mesophotic,0.0022
178,Upper Keys-Mesophotic,0.0022
179,Upper Keys-Shallow,0.0027
180,Upper Keys-Shallow,0.0021
181,Upper Keys-Shallow,0.0023
182,Upper Keys-Shallow,0.0024
183,Upper Keys-Shallow,0.0022
184,Upper Keys-Shallow,0.0022
185,Upper Keys-Shallow,0.0022
186,Upper Keys-Shallow,0.0024
187,Upper Keys-Mesophotic,0.0026
188,Upper Keys-Mesophotic,0.0022
189,Upper Keys-Mesophotic,0.0022
190,Upper Keys-Mesophotic,0.0023
191,Upper Keys-Mesophotic,0.0023
192,Upper Keys-Mesophotic,0.0023
193,Upper Keys-Mesophotic,0.0026
194,Upper Keys-Shallow,0.0025
195,Upper Keys-Shallow,0.0027
196,Upper Keys-Shallow,0.0028
198,Upper Keys-Shallow,0.0021
199,Upper Keys-Shallow,0.0024
200,Upper Keys-Shallow,0.0031
201,Upper Keys-Mesophotic,0.0038
202,Upper Keys-Mesophotic,0.0023
205,Upper Keys-Mesophotic,0.0033
208,Upper Keys-Mesophotic,0.003
209,Upper Keys-Mesophotic,0.0036
211,Upper Keys-Mesophotic,0.003
212,Upper Keys-Mesophotic,0.003
214,Upper Keys-Mesophotic,0.0039
216,Upper Keys-Mesophotic,0.0037
