sample,popsite,Symbiodinium,Breviolum,Cladocopium,Durusdinium
2,TER-North-Mesophotic,16,32,1228,18
4,TER-North-Mesophotic,55,169,34819,234
5,TER-North-Mesophotic,302,584,208431,353
6,TER-North-Mesophotic,86,355,49704,138
7,TER-North-Mesophotic,95,230,74386,84
8,TER-North-Mesophotic,136,300,7777,364
9,TER-North-Mesophotic,181,418,220168,311
10,TER-North-Mesophotic,131,341,136693,232
12,TER-North-Mesophotic,181,346,62918,809
13,TER-North-Mesophotic,53,381,21230,448
14,TER-North-Shallow,268,353,115556,478
15,TER-North-Shallow,69,137,47539,103
16,TER-North-Shallow,94,325,41273,99
17,TER-North-Shallow,24,114,10540,63
18,TER-North-Shallow,1,4,1077,9
19,TER-North-Shallow,214,220,74622,157
20,TER-North-Shallow,49,125,5015,489
21,TER-North-Shallow,5,96,4009,10
22,TER-North-Shallow,900,1272,983288,997
23,TER-North-Shallow,5,32,1621,10
24,TER-North-Shallow,174,366,57161,181
26,TER-North-Shallow,19,97,8229,27
27,TER-North-Shallow,32,139,22409,249
28,TER-North-Shallow,24,55,9129,41
29,TER-North-Shallow,126,259,74734,135
30,TER-North-Shallow,201,429,167667,244
31,TER-North-Shallow,57,179,39115,64
32,TER-North-Shallow,51,100,29245,254
33,TER-North-Shallow,30,101,16627,20
34,TER-North-Shallow,7,30,1795,13
36,TER-North-Shallow,3,47,1170,14
37,TER-North-Mesophotic,18,120,11869,29
38,TER-North-Mesophotic,114,262,104290,128
39,TER-North-Mesophotic,11,23,5798,32
40,TER-North-Mesophotic,31,68,1603,9
41,TER-North-Mesophotic,73,342,32817,162
42,TER-North-Mesophotic,355,631,250393,567
44,TER-North-Mesophotic,65,285,57623,93
45,TER-North-Mesophotic,87,187,51298,76
46,TER-North-Mesophotic,113,285,32382,145
47,TER-North-Mesophotic,46,179,36835,95
48,TER-North-Shallow,172,299,135736,226
49,TER-North-Shallow,13,40,1559,57
50,TER-North-Shallow,94,327,81337,179
52,TER-North-Shallow,140,289,62375,168
53,TER-North-Shallow,65,156,65019,86
54,TER-North-Mesophotic,96,270,78641,149
55,TER-North-Mesophotic,78,377,54284,133
56,TER-North-Mesophotic,103,205,56916,165
60,TER-North-Shallow,164,260,63723,127
61,TER-South-Mesophotic,82,199,57499,175
62,TER-South-Mesophotic,68,195,45755,127
63,TER-South-Mesophotic,42,131,33654,104
64,TER-South-Mesophotic,226,562,266890,582
65,TER-South-Mesophotic,14,155,6605,36
66,TER-South-Mesophotic,0,40,1674,12
67,TER-South-Mesophotic,62,294,25464,125
68,TER-South-Mesophotic,104,381,56793,398
69,TER-South-Mesophotic,25,104,7372,322
70,TER-South-Mesophotic,160,508,149191,295
71,TER-South-Mesophotic,176,440,118639,701
72,TER-South-Mesophotic,24,176,3995,33
73,TER-South-Mesophotic,61,264,19062,89
74,TER-South-Mesophotic,28,202,15409,223
75,TER-South-Mesophotic,208,454,161517,273
76,TER-South-Mesophotic,50,238,35115,130
77,TER-South-Mesophotic,218,508,115547,1563
78,TER-South-Mesophotic,124,349,92961,169
79,TER-South-Mesophotic,205,324,20081,331
