# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Mcavernosa.proteins.fasta --output Mcavernosa_euk -d euk --usemem --cpu 60
# time: Tue Jul 10 03:58:24 2018
#query_name	eggNOG annot
Mcavernosa04243	(dCMP) deaminase
Mcavernosa04238	Inherit from meNOG: multicellular organismal development
Mcavernosa04237	Inherit from meNOG: multicellular organismal development
Mcavernosa04236	Nuclear transcription factor, X-box binding 1
Mcavernosa04249	NA
Mcavernosa04248	homeobox
Mcavernosa04247	(dCMP) deaminase
Mcavernosa04250	homeobox
Mcavernosa04252	ATPase, H transporting, lysosomal 56 58kDa, V1 subunit
Mcavernosa04256	GLI pathogenesis-related 2
Mcavernosa04255	GLI pathogenesis-related 2
Mcavernosa04257	GLI pathogenesis-related 2
Mcavernosa04253	coiled-coil domain containing 149
Mcavernosa04264	Copper/zinc superoxide dismutase (SODC)
Mcavernosa04265	Copper/zinc superoxide dismutase (SODC)
Mcavernosa04266	solute carrier family 22
Mcavernosa04258	GLI pathogenesis-related 2
Mcavernosa04259	GLI pathogenesis-related 2
Mcavernosa04260	protein Hydra magnipapillata
Mcavernosa04276	F-box protein 22
Mcavernosa04280	protein Hydra magnipapillata
Mcavernosa04278	ring finger and CHY zinc finger
Mcavernosa04272	PTK7 protein tyrosine kinase 7
Mcavernosa04267	polymerase (RNA) II (DNA directed) polypeptide B
Mcavernosa04281	protein Hydra magnipapillata
Mcavernosa04279	DEAD (Asp-Glu-Ala-Asp) box helicase 56
Mcavernosa04271	nuclear receptor binding factor 2
Mcavernosa04282	ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits and is required for the normal formation of 25S and 5.8S rRNAs (By similarity)
Mcavernosa04274	Ubiquitin conjugation factor E4
Mcavernosa04290	fucosidase, alpha-L
Mcavernosa04284	fucosidase, alpha-L
Mcavernosa04283	protein Hydra magnipapillata
Mcavernosa04285	fucosidase, alpha-L
Mcavernosa04289	fucosidase, alpha-L
Mcavernosa04288	fucosidase, alpha-L
Mcavernosa04287	fucosidase, alpha-L
Mcavernosa04292	pelota homolog
Mcavernosa04294	Pfam:DUF1916
Mcavernosa04302	NA
Mcavernosa04297	nudix (nucleoside diphosphate linked moiety X)-type motif 6
Mcavernosa04299	SWAP switching B-cell complex 70kDa subunit
Mcavernosa04301	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
Mcavernosa04310	potassium voltage-gated channel, KQT-like subfamily, member
Mcavernosa04305	t-complex protein 1 subunit
Mcavernosa04308	t-complex protein 1 subunit
Mcavernosa04314	tribbles homolog
Mcavernosa04315	ankyrin repeat and PH
Mcavernosa04316	transporter
Mcavernosa04317	Platelet-activating factor acetylhydrolase
Mcavernosa04318	transporter
Mcavernosa04322	NA
Mcavernosa04323	PAS domain containing serine threonine kinase
Mcavernosa04325	N-6 adenine-specific DNA methyltransferase 1
Mcavernosa04324	Poly(ADP-ribose) polymerase catalytic domain
Mcavernosa04321	Programmed cell death
Mcavernosa04327	MutS homolog 6 (E. coli)
Mcavernosa04320	Programmed cell death
Mcavernosa04331	Fibroblast growth factor receptor
Mcavernosa04330	Transmembrane protein 241
Mcavernosa04339	Collagen triple helix repeat (20 copies)
Mcavernosa04342	PTK7 protein tyrosine kinase 7
Mcavernosa04337	collagen, type XII, alpha 1
Mcavernosa04348	PTK7 protein tyrosine kinase 7
Mcavernosa04347	collagen, type IV, alpha 3 (Goodpasture antigen)
Mcavernosa04343	PTK7 protein tyrosine kinase 7
Mcavernosa04354	COLFI
Mcavernosa04358	Collagen, type IX, alpha 2
Mcavernosa04350	collagen, type XII, alpha 1
Mcavernosa04351	Collagen triple helix repeat (20 copies)
Mcavernosa04355	collagen, type VI, alpha 6
Mcavernosa04357	Collagen triple helix repeat (20 copies)
Mcavernosa04353	COLFI
Mcavernosa04359	COLFI
Mcavernosa04371	COLFI
Mcavernosa04369	C1q and tumor necrosis factor related protein
Mcavernosa04365	Collagen triple helix repeat (20 copies)
Mcavernosa04368	UnCoupling Protein
Mcavernosa04362	collagen, type XII, alpha 1
Mcavernosa04366	NGFI-A binding protein 1 (EGR1 binding protein 1)
Mcavernosa04364	collagen, type IV, alpha
Mcavernosa04367	Solute carrier family 25 (Mitochondrial thiamine pyrophosphate carrier), member 19
Mcavernosa04375	von Willebrand factor type A domain
Mcavernosa04376	von Willebrand factor type A domain
Mcavernosa04373	collagen, type XII, alpha 1
Mcavernosa04372	Collagen, type IX, alpha 2
Mcavernosa04374	collagen, type XII, alpha 1
Mcavernosa04385	Chondroitin polymerizing factor
Mcavernosa04387	Calcium channel, voltage-dependent, alpha 2 delta subunit
Mcavernosa04380	collagen, type VIII, alpha
Mcavernosa04384	collagen, type
Mcavernosa04397	LRR
Mcavernosa04394	epoxide hydrolase
Mcavernosa04398	Coiled-coil domain containing 6
Mcavernosa04392	Solute carrier family 25
Mcavernosa04395	Coiled-coil domain containing 6
Mcavernosa04402	Sulfatase
Mcavernosa04401	IdgA domain protein
Mcavernosa04399	chromosome 1 open reading frame 173
Mcavernosa04400	60S acidic ribosomal protein
Mcavernosa04408	PPIases accelerate the folding of proteins
Mcavernosa04409	PR domain containing 14
Mcavernosa04407	PPIases accelerate the folding of proteins
Mcavernosa04403	Kallmann syndrome 1 sequence
Mcavernosa04405	ADAM metallopeptidase domain
Mcavernosa04412	guanine nucleotide exchange factor
Mcavernosa04418	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04420	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04415	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04413	EGF-like domain
Mcavernosa04410	Serrate RNA effector molecule homolog
Mcavernosa04428	meprin A, beta
Mcavernosa04429	to astacin family metalloendopeptidase FARM-1 Hydra magnipapillata 
Mcavernosa04424	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04423	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04421	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04425	Notch ligand involved in the mediation of Notch signaling (By similarity)
Mcavernosa04431	MAM domain containing 4
Mcavernosa04430	to astacin family metalloendopeptidase FARM-1 Hydra magnipapillata 
Mcavernosa04436	phospholipase B domain containing
Mcavernosa04434	homolog (mouse)
Mcavernosa04433	astacin-like metalloendopeptidase (M12 family)
Mcavernosa04438	to reverse transcriptase
Mcavernosa04437	Oxysterol-binding protein
Mcavernosa04441	ATPase inhibitory factor 1
Mcavernosa04445	Growth differentiation factor 7
Mcavernosa04439	Oxysterol-binding protein
Mcavernosa04442	Amnionless homolog (Mouse)
Mcavernosa04456	Peptidyl-prolyl cis-trans isomerase
Mcavernosa04448	member RAS oncogene
Mcavernosa04453	Copper chaperone for superoxide dismutase
Mcavernosa04454	Sirtuin 6
Mcavernosa04455	u11 U12 small nuclear ribonucleoprotein 25 kDa
Mcavernosa04449	Protein disulfide isomerase
Mcavernosa04472	Heparan sulfate 2-o-sulfotransferase
Mcavernosa04467	solute carrier family 10 (sodium bile acid cotransporter family), member 7
Mcavernosa04470	Glutaminase
Mcavernosa04469	Zwilch, kinetochore associated, homolog (Drosophila)
Mcavernosa04464	solute carrier family 10 (sodium bile acid cotransporter family), member 7
Mcavernosa04457	diacylglycerol kinase
Mcavernosa04473	Short chain dehydrogenase reductase family 16C, member 5
Mcavernosa04461	diacylglycerol kinase
Mcavernosa04471	Mitochondrial ribosomal protein S28
Mcavernosa04462	RNA guanylyltransferase and 5'-phosphatase
Mcavernosa04465	transmembrane 9 superfamily member
Mcavernosa04479	Exostoses (Multiple)-like 3
Mcavernosa04475	NA
Mcavernosa04480	Zinc finger protein 704
Mcavernosa04474	NA
Mcavernosa04482	leucine rich repeat containing
Mcavernosa04477	Exostoses (Multiple)-like 3
Mcavernosa04481	phosphatidate phosphatase
Mcavernosa04478	Exostoses (Multiple)-like 3
Mcavernosa04490	NA
Mcavernosa04491	Mitogen-activated protein kinase
Mcavernosa04485	Chromosome
Mcavernosa04483	PDZ domain (Also known as DHR or GLGF)
Mcavernosa04488	HECTc
Mcavernosa04497	solute carrier family 17
Mcavernosa04499	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Mcavernosa04496	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)
Mcavernosa04495	thioredoxin reductase
Mcavernosa04498	solute carrier family 17
Mcavernosa04492	Anthrax toxin receptor
Mcavernosa04501	Filamin C, gamma
Mcavernosa04504	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase
Mcavernosa04515	Neuronal pentraxin
Mcavernosa04511	Lysosomal Pro-X
Mcavernosa04512	tetratricopeptide repeat domain 29
Mcavernosa04523	Regulatory subunit of the poly(A)-nuclease (PAN) deadenylation complex involved in cytoplasmic mRNA turnover. PAN specifically shortens poly(A) tails of RNA when the poly(A) stretch is bound by polyadenylate-binding protein pab1. Deadenylation of the 3'-tail to a length that is too short to bind pab1 induces mRNA decay. May also be involved in post- transcriptional maturation of mRNA poly(A) tails. pan3 acts as a positive regulator for PAN activity, recruiting pan2 to mRNA via its interaction with pab1 (By similarity)
Mcavernosa04519	Copper-transporting ATPase
Mcavernosa04518	Sequestosome 1
Mcavernosa04516	down syndrome cell adhesion molecule
Mcavernosa04517	transcription factor
Mcavernosa04531	NA
Mcavernosa04527	Ankyrin repeat-containing protein
Mcavernosa04526	Transmembrane protein 175
Mcavernosa04524	Transmembrane protein 175
Mcavernosa04525	Transmembrane protein 175
Mcavernosa04541	oxygenase
Mcavernosa04542	ABC transporter transmembrane region
Mcavernosa04545	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
Mcavernosa04544	Lysosomal protein transmembrane 4 alpha
Mcavernosa04543	Acetyltransferase (GNAT) family
Mcavernosa04548	Replication protein A1, 70kDa
Mcavernosa04547	phosphatase and actin regulator
Mcavernosa04549	NA
Mcavernosa04551	suppressor of cytokine signaling
Mcavernosa04556	signal peptide
Mcavernosa04552	integrin alpha FG-GAP repeat containing 1
Mcavernosa04550	ubiquinone biosynthesis protein Coq9
Mcavernosa04557	U6 snRNA-associated Sm-like protein
Mcavernosa04559	Cytoplasmic polyadenylation element binding protein
Mcavernosa04560	methyltransferase
Mcavernosa04561	lectin, mannose-binding 1
Mcavernosa04558	methionyl-tRNA formyltransferase
Mcavernosa04563	tetratricopeptide repeat domain
Mcavernosa04565	Meprin A
Mcavernosa04562	rhophilin associated tail protein
Mcavernosa04569	TELO2 interacting protein 2
Mcavernosa04574	aminopeptidase
Mcavernosa04572	aminopeptidase
Mcavernosa04579	rna polymerase
Mcavernosa04576	aminopeptidase
Mcavernosa04575	aminopeptidase
Mcavernosa04570	Tryp_SPc
Mcavernosa04571	Tryp_SPc
Mcavernosa04587	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04591	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04589	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04580	aminopeptidase
Mcavernosa04608	chromosome 9 open reading frame 41
Mcavernosa04604	Inherit from KOG: Retrotransposon protein
Mcavernosa04593	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04595	POC5 centriolar protein homolog (Chlamydomonas)
Mcavernosa04602	Lipoxygenase
Mcavernosa04607	Inherit from opiNOG: to reverse transcriptase
Mcavernosa04609	kiaa1328
Mcavernosa04618	NA
Mcavernosa04617	pogo transposable element with KRAB domain
Mcavernosa04625	piggyBac transposable element derived 4
Mcavernosa04633	ATPase, class V, type
Mcavernosa04634	ATPase, class V, type
Mcavernosa04635	ATPase, class V, type
Mcavernosa04631	2-OG-Fe(II) oxygenase
Mcavernosa04629	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa04632	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa04626	ATP-binding cassette, sub-family C (CFTR MRP), member
Mcavernosa04644	Paired box
Mcavernosa04639	round spermatid basic protein
Mcavernosa04649	receptor
Mcavernosa04636	dedicator of cyto-kinesis
Mcavernosa04642	astacin-like metalloendopeptidase (M12 family)
Mcavernosa04646	NA
Mcavernosa04652	LIM domain only
Mcavernosa04654	LIM domain only
Mcavernosa04656	membrane-associated ring finger (C3HC4)
Mcavernosa04658	astacin-like metalloendopeptidase (M12 family)
Mcavernosa04661	Transhydrogenase
Mcavernosa04659	NAD(P) transhydrogenase beta subunit
Mcavernosa04660	Transhydrogenase
Mcavernosa04672	src kinase associated phosphoprotein 2
Mcavernosa04671	Dom-3 homolog Z (C. elegans)
Mcavernosa04675	NA
Mcavernosa04673	Pentatricopeptide repeat-containing protein
Mcavernosa04674	Protease, serine
Mcavernosa04686	supervillin
Mcavernosa04683	leucine-rich pentatricopeptide repeat containing
Mcavernosa04691	NmrA-like family domain containing 1
Mcavernosa04693	NmrA-like family domain containing 1
Mcavernosa04687	supervillin
Mcavernosa04690	UbiA prenyltransferase domain containing 1
Mcavernosa04688	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 10
Mcavernosa04692	UbiA prenyltransferase domain containing 1
Mcavernosa04695	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (Liprin), alpha
Mcavernosa04698	GTPase activating protein
Mcavernosa04697	Inhibitor of growth family member
Mcavernosa04696	NA
Mcavernosa04694	Sema domain, seven thrombospondin repeats (Type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (Semaphorin)
Mcavernosa04715	Polyamine oxidase
Mcavernosa04710	primary cilia formation
Mcavernosa04704	Nucleoporin 43kDa
Mcavernosa04712	cullin 5
Mcavernosa04708	NADH dehydrogenase (ubiquinone) complex I, assembly factor 4
Mcavernosa04703	N-6 adenine-specific DNA methyltransferase 2
Mcavernosa04707	KIAA0895-like
Mcavernosa04709	LATS, large tumor suppressor, homolog
Mcavernosa04702	KIAA0895-like
Mcavernosa04706	N-6 adenine-specific DNA methyltransferase 2
Mcavernosa04718	protein phosphatase 1, regulatory subunit
Mcavernosa04719	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis (By similarity)
Mcavernosa04736	nudC domain containing
Mcavernosa04721	listerin E3 ubiquitin protein ligase 1
Mcavernosa04728	Kruppel-like protein 1
Mcavernosa04726	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane (By similarity)
Mcavernosa04733	Protein disulfide isomerase
Mcavernosa04730	collagen, type XII, alpha 1
Mcavernosa04731	Putative cyclase
Mcavernosa04738	Sirtuin 6
Mcavernosa04741	RNA polymerase I subunit
Mcavernosa04737	Ion channel
Mcavernosa04740	chromosome 16 open reading frame
Mcavernosa04745	HYR domain
Mcavernosa04742	unc-13 homolog D (C. elegans)
Mcavernosa04747	HYR domain
Mcavernosa04746	HYR domain
Mcavernosa04770	NA
Mcavernosa04748	Pentaxin family
Mcavernosa04749	PIKK family atypical protein kinase
Mcavernosa04768	NA
Mcavernosa04750	PIKK family atypical protein kinase
Mcavernosa04757	NA
Mcavernosa04759	NA
Mcavernosa04771	Endonuclease/Exonuclease/phosphatase family
Mcavernosa04781	NA
Mcavernosa04775	Pao retrotransposon peptidase 
Mcavernosa04777	Inherit from euNOG: solute carrier family 17
Mcavernosa04776	Pao retrotransposon peptidase 
Mcavernosa04783	NA
Mcavernosa04785	KR domain
Mcavernosa04787	failed axon connections homolog (Drosophila)
Mcavernosa04790	failed axon connections homolog (Drosophila)
Mcavernosa04789	failed axon connections homolog (Drosophila)
Mcavernosa04791	failed axon connections homolog (Drosophila)
Mcavernosa04793	tRNA methyltransferase 11 homolog (S. cerevisiae)
Mcavernosa04797	Glutamate--cysteine ligase
Mcavernosa04794	tRNA methyltransferase 11 homolog (S. cerevisiae)
Mcavernosa04798	Glutamate--cysteine ligase
Mcavernosa04802	N-acetyltransferase
Mcavernosa04800	N-acetyltransferase
Mcavernosa04799	Glutamate--cysteine ligase
Mcavernosa04810	Cyclin-dependent kinase-like
Mcavernosa04806	Solute carrier family 32 (GABA vesicular transporter), member 1
Mcavernosa04807	sh2 domain containing
Mcavernosa04811	rho GTPase activating protein
Mcavernosa04809	Transmembrane protein 87A
Mcavernosa04816	actin-depolymerizing factor
Mcavernosa04817	ATP-binding cassette, sub-family B (MDR TAP), member 4
Mcavernosa04815	ATP-binding cassette, subfamily B (MDR TAP), member
Mcavernosa04819	carboxyl methyltransferase
Mcavernosa04814	ATP-binding cassette, subfamily B (MDR TAP), member
Mcavernosa04840	nucleoporin
Mcavernosa04832	RNA polymerase II, TATA box binding protein (TBP)-associated factor
Mcavernosa04833	LIM domain and actin binding 1
Mcavernosa04838	thiamin pyrophosphokinase-related protein
Mcavernosa04823	Calcium-binding EGF domain
Mcavernosa04822	EGF-like domain
Mcavernosa04820	FiBrilliN
Mcavernosa04842	bone morphogenetic protein
Mcavernosa04834	Glutaredoxin
Mcavernosa04829	PTPRF interacting protein binding protein
Mcavernosa04837	cytidine deaminase
Mcavernosa04836	cytidine deaminase
Mcavernosa04845	OTU domain containing 4
Mcavernosa04843	protein Hydra magnipapillata
Mcavernosa04848	transmembrane protein 63C
Mcavernosa04846	transmembrane protein 63C
Mcavernosa04853	Paired box
Mcavernosa04851	transmembrane protein 63C
Mcavernosa04852	transmembrane protein 63C
Mcavernosa04856	FAD-binding and arabino-lactone oxidase domains containing protein
Mcavernosa04854	MAM domain containing 4
Mcavernosa04858	homeobox
Mcavernosa04857	Paired box
Mcavernosa04867	COMM domain containing 10
Mcavernosa04863	ATP-dependent RNA helicase involved in mRNA splicing. May destabilize the U1 5'-splice site duplex to permit an effective competition for the 5'-splice site by the U6 snRNA, resulting in the switch between U1 and U6 at the 5'-splice site. May also act to unwind the U4 U6 base-pairing interaction in the U4 U6 U5 snRNP, facilitating the first covalent step of splicing
Mcavernosa04862	DEAD (Asp-Glu-Ala-Asp) box polypeptide
Mcavernosa04869	ribosomal protein S15
Mcavernosa04868	U3 small nucleolar
Mcavernosa04866	Ubiquilin
Mcavernosa04865	ubiquilin 3
Mcavernosa04877	Ras protein-specific guanine nucleotide-releasing factor
Mcavernosa04878	Ras protein-specific guanine nucleotide-releasing factor
Mcavernosa04873	C2 domain
Mcavernosa04871	Rna-binding protein
Mcavernosa04888	focadhesin
Mcavernosa04883	pygopus homolog 1 (Drosophila)
Mcavernosa04887	focadhesin
Mcavernosa04886	focadhesin
Mcavernosa04889	NA
Mcavernosa04884	integrase core domain protein
Mcavernosa04895	t-complex protein 1
Mcavernosa04900	EGF_Lam
Mcavernosa04906	chromosome 6 open reading frame 57
Mcavernosa04898	laminin, alpha
Mcavernosa04897	LamNT
Mcavernosa04902	Laminin, alpha
Mcavernosa04896	C2 domain
Mcavernosa04905	HAUS augmin-like complex subunit 6
Mcavernosa04914	von Willebrand factor type A domain
Mcavernosa04908	Thrombospondin type 1 domain
Mcavernosa04926	Proprotein convertase P-domain
Mcavernosa04924	clathrin assembly protein
Mcavernosa04916	von Willebrand factor type A domain
Mcavernosa04917	synthase
Mcavernosa04921	paraoxonase
Mcavernosa04919	Beta-lactamase
Mcavernosa04915	Cholinergic receptor, nicotinic, alpha
Mcavernosa04932	NmrA-like family
Mcavernosa04927	tetratricopeptide repeat domain 28
Mcavernosa04928	chitinase
Mcavernosa04929	chitinase
Mcavernosa04933	NmrA-like family
Mcavernosa04940	Serpentine type 7TM GPCR chemoreceptor Srsx
Mcavernosa04934	pectinacetylesterase
Mcavernosa04941	transmembrane protein 39A
Mcavernosa04938	ribosomal protein
Mcavernosa04936	cell division cycle 5-like
Mcavernosa04945	Charged multivesicular body protein 2B
Mcavernosa04947	NA
Mcavernosa04950	somatomedin B and thrombospondin, type 1 domain containing
Mcavernosa04955	Set domain
Mcavernosa04958	Citrate lyase beta
Mcavernosa04953	kiaa1586
Mcavernosa04952	clathrin heavy chain
Mcavernosa04951	methylmalonic aciduria (cobalamin deficiency) cblB type
Mcavernosa04954	clathrin heavy chain
Mcavernosa04962	Ataxin 2-like
Mcavernosa04960	Citrate lyase beta
Mcavernosa04961	Tumor protein p53 inducible protein 13
Mcavernosa04965	)-reductase
Mcavernosa04967	NA
Mcavernosa04976	piggyBac transposable element derived 4
Mcavernosa04987	Protein of unknown function (DUF1399)
Mcavernosa04984	urease accessory protein
Mcavernosa04981	Zinc finger protein 862
Mcavernosa04978	Hydra magnipapillata
Mcavernosa04983	Interacts with a second catalytic subunit to form an active queuine tRNA-ribosyltransferase. This enzyme exchanges queuine for the guanine at the wobble position of tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr), thereby forming the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)
Mcavernosa04977	NA
Mcavernosa04979	NA
Mcavernosa04986	Solute carrier family 35, member B3
Mcavernosa04992	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa04989	Tryp_SPc
Mcavernosa04993	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa04994	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine) (By similarity)
Mcavernosa04988	NEDD8 activating enzyme E1 subunit 1
Mcavernosa05003	Septin 6
Mcavernosa04995	Melatonin receptor
Mcavernosa05005	LPS-responsive vesicle trafficking, beach and anchor containing
Mcavernosa05001	Melatonin receptor
Mcavernosa04996	Melatonin receptor
Mcavernosa05004	LPS-responsive vesicle trafficking, beach and anchor containing
Mcavernosa05002	EF-hand domain family, member
Mcavernosa05000	EF-hand domain family, member
Mcavernosa05006	Septin 6
Mcavernosa05007	LPS-responsive vesicle trafficking, beach and anchor containing
Mcavernosa05014	serine threonine kinase 16
Mcavernosa05071	Protein of unknown function (DUF1757)
Mcavernosa05081	kelch-like
Mcavernosa05080	kelch-like
Mcavernosa05078	Mbt domain containing 1
Mcavernosa05076	BACK
Mcavernosa05077	Myotubularin related protein
Mcavernosa05073	von Willebrand factor A domain containing 3B
Mcavernosa05084	Transcription initiation factor TFIID
Mcavernosa05082	GATA binding protein
Mcavernosa05083	Protein tyrosine phosphatase, non-receptor type
Mcavernosa05090	NA
Mcavernosa05088	MULE transposase domain
Mcavernosa05096	FRAS1 related extracellular matrix
Mcavernosa05092	protein phosphatase 1, regulatory subunit
Mcavernosa05095	nuclear factor of activated T-cells 5, tonicity-responsive
Mcavernosa05091	solute carrier family 25 (pyrimidine nucleotide carrier
Mcavernosa05093	ribosomal protein
Mcavernosa05085	alkB, alkylation repair homolog 8 (E. coli)
Mcavernosa05105	PHD finger protein
Mcavernosa05106	Sodium/glutamate symporter
Mcavernosa05108	Carbohydrate
Mcavernosa05098	NA
Mcavernosa05099	NA
Mcavernosa05101	NA
Mcavernosa05118	solute carrier family 25 (pyrimidine nucleotide carrier
Mcavernosa05112	epoxide hydrolase
Mcavernosa05114	Stromal interaction molecule
Mcavernosa05110	amine oxidase
Mcavernosa05117	RAB escort protein
Mcavernosa05109	Heavy metal-associated domain containing protein
Mcavernosa05115	Stromal interaction molecule
Mcavernosa05113	Steroid receptor RNA activator
Mcavernosa05116	epoxide hydrolase
Mcavernosa05111	N-acylsphingosine amidohydrolase (acid ceramidase) 1
Mcavernosa05125	Nucleoporin autopeptidase
Mcavernosa05122	Nucleoporin autopeptidase
Mcavernosa05127	proline and serine rich 1
Mcavernosa05124	Nucleoporin autopeptidase
Mcavernosa05126	proline and serine rich 1
Mcavernosa05134	ELMO CED-12 domain containing
Mcavernosa05143	PIH1 domain containing 3
Mcavernosa05136	Solute carrier family 25
Mcavernosa05135	dihydrolipoamide dehydrogenase
Mcavernosa05142	tripartite motif containing 71, E3 ubiquitin protein ligase
Mcavernosa05139	o-methyltransferase
Mcavernosa05148	tetratricopeptide repeat domain
Mcavernosa05145	Tetratricopeptide repeat and ankyrin repeat containing 1
Mcavernosa05150	Tetratricopeptide repeat and ankyrin repeat containing 1
Mcavernosa05146	Tetratricopeptide repeat and ankyrin repeat containing 1
Mcavernosa05152	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05153	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05154	Solute carrier family 7 (cationic amino acid transporter, y system), member
