"","locus","chromo","position","start","end","gene","cog","protein","qval","sig"
"1",356,"Sc0000007",880296,878147,888205,"Mcavernosa00072","K","Protein inhibitor of activated STAT",0.0014803,"***"
"2",368,"Sc0000007",1337188,1330506,1340868,"Mcavernosa00118","T, U","synaptotagmin",0.0029119,"***"
"3",372,"Sc0000008",58676,56915,71673,"Mcavernosa00135","O","endoplasmic reticulum lectin",0.020444,"**"
"4",372,"Sc0000008",58676,55911,60813,"Mcavernosa00134","F","Nicotinatenucleotide pyrophosphorylase",0.020444,"**"
"5",386,"Sc0000008",503055,492721,503102,"Mcavernosa00187","O","TRAF-type zinc finger",0.00013145,"***"
"6",611,"Sc0000014",351695,343339,353897,"Mcavernosa00923","G","Spinster homolog",0.010175,"**"
"7",611,"Sc0000014",351695,351436,373284,"Mcavernosa00924","T","crumbs homolog 2 (Drosophila)",0.010175,"**"
"8",618,"Sc0000014",827140,820221,828926,"Mcavernosa00959","T","Fc fragment of IgE, low affinity II, receptor for (CD23)",0.015788,"**"
"9",618,"Sc0000014",827140,825387,833422,"Mcavernosa00961","S","tetratricopeptide repeat domain 16",0.015788,"**"
"10",633,"Sc0000015",159724,145156,161161,"Mcavernosa01022","O","Tubulin folding cofactor E",0.054019,"*"
"11",788,"Sc0000019",442489,438004,446586,"Mcavernosa01737","I","synthetase",0.0059469,"***"
"12",793,"Sc0000019",706060,700863,720685,"Mcavernosa01750","F","3-phosphoadenosine 5-phosphosulfate synthase",0.056473,"*"
"13",885,"Sc0000022",239151,237450,248306,"Mcavernosa01985","T","Leucine Rich Repeat",0.00039192,"***"
"14",994,"Sc0000025",275188,273853,278737,"Mcavernosa03361","K","forkhead box L2",0,"***"
"15",1003,"Sc0000025",482056,472108,487567,"Mcavernosa03375","O","meprin A, beta",0.019596,"**"
"16",1003,"Sc0000025",482056,480195,487577,"Mcavernosa03377","O","Stromal cell derived factor 4",0.019596,"**"
"17",1073,"Sc0000028",801272,800600,817320,"Mcavernosa03681","K","Transmembrane protein 135",0.022901,"**"
"18",1122,"Sc0000030",452447,440787,490091,"Mcavernosa03821","Z","centrosomal protein 350kDa",0.095684,"*"
"19",1290,"Sc0000035",241187,216273,248825,"Mcavernosa07247","T","Guanylate cyclase",0,"***"
"20",1601,"Sc0000048",780568,776755,781852,"Mcavernosa24579","K","SRY (sex determining region Y)-box 17",0.031771,"**"
"21",1620,"Sc0000049",677814,676938,691658,"Mcavernosa24636","O","Tubulin tyrosine ligase-like family, member",0.023225,"**"
"22",1640,"Sc0000050",345719,339508,345869,"Mcavernosa24682","U","intraflagellar transport 20 homolog (Chlamydomonas)",0.0021051,"***"
"23",1640,"Sc0000050",345719,343656,351153,"Mcavernosa24683","S","Globin",0.0021051,"***"
"24",1732,"Sc0000053",657280,651154,661769,"Mcavernosa24928","K","homeobox",0.059668,"*"
"25",1739,"Sc0000053",781399,771105,793036,"Mcavernosa24935","K","Zinc finger protein 106 homolog (Mouse)",0.0051355,"***"
"26",1917,"Sc0000062",38808,26976,48049,"Mcavernosa16630","O","ADAM metallopeptidase domain",0.020159,"**"
