"","locus","chromo","position","start","end","gene","cog","protein","qval","sig"
"1",355,"Sc0000007",832690,823671,835359,"Mcavernosa00064","B","SANT",0.0982,"*"
"2",356,"Sc0000007",880296,878147,888205,"Mcavernosa00072","K","Protein inhibitor of activated STAT",0.0019901,"***"
"3",368,"Sc0000007",1337188,1330506,1340868,"Mcavernosa00118","T, U","synaptotagmin",0.0042162,"***"
"4",372,"Sc0000008",58676,56915,71673,"Mcavernosa00135","O","endoplasmic reticulum lectin",0.075179,"*"
"5",372,"Sc0000008",58676,55911,60813,"Mcavernosa00134","F","Nicotinatenucleotide pyrophosphorylase",0.075179,"*"
"6",386,"Sc0000008",503055,492721,503102,"Mcavernosa00187","O","TRAF-type zinc finger",0,"***"
"7",632,"Sc0000015",159724,145156,161161,"Mcavernosa01022","O","Tubulin folding cofactor E",0.026525,"**"
"8",788,"Sc0000019",442489,438004,446586,"Mcavernosa01737","I","synthetase",0.031117,"**"
"9",793,"Sc0000019",706060,700863,720685,"Mcavernosa01750","F","3-phosphoadenosine 5-phosphosulfate synthase",0.022924,"**"
"10",885,"Sc0000022",239151,237450,248306,"Mcavernosa01985","T","Leucine Rich Repeat",0.00015628,"***"
"11",994,"Sc0000025",275188,273853,278737,"Mcavernosa03361","K","forkhead box L2",0,"***"
"12",1003,"Sc0000025",482056,472108,487567,"Mcavernosa03375","O","meprin A, beta",0.064132,"*"
"13",1003,"Sc0000025",482056,480195,487577,"Mcavernosa03377","O","Stromal cell derived factor 4",0.064132,"*"
"14",1004,"Sc0000025",482065,472108,487567,"Mcavernosa03375","O","meprin A, beta",0.023251,"**"
"15",1004,"Sc0000025",482065,480195,487577,"Mcavernosa03377","O","Stromal cell derived factor 4",0.023251,"**"
"16",1073,"Sc0000028",801272,800600,817320,"Mcavernosa03681","K","Transmembrane protein 135",0.038541,"**"
"17",1290,"Sc0000035",241187,216273,248825,"Mcavernosa07247","T","Guanylate cyclase",0,"***"
"18",1602,"Sc0000048",780568,776755,781852,"Mcavernosa24579","K","SRY (sex determining region Y)-box 17",0.029324,"**"
"19",1621,"Sc0000049",677814,676938,691658,"Mcavernosa24636","O","Tubulin tyrosine ligase-like family, member",0.0071134,"***"
"20",1641,"Sc0000050",345719,339508,345869,"Mcavernosa24682","U","intraflagellar transport 20 homolog (Chlamydomonas)",0.0037608,"***"
"21",1641,"Sc0000050",345719,343656,351153,"Mcavernosa24683","S","Globin",0.0037608,"***"
"22",1733,"Sc0000053",657280,651154,661769,"Mcavernosa24928","K","homeobox",0.09527,"*"
"23",1918,"Sc0000062",38808,26976,48049,"Mcavernosa16630","O","ADAM metallopeptidase domain",0.021597,"**"
"24",1925,"Sc0000062",295853,281605,298921,"Mcavernosa16657","T","receptor tyrosine kinase-like orphan receptor",0.055148,"*"
"25",2025,"Sc0000066",650888,644107,676724,"Mcavernosa16979","S","Lectin C-type domain",0.0050911,"***"
"26",2026,"Sc0000066",652197,644107,676724,"Mcavernosa16979","S","Lectin C-type domain",0.023907,"**"
"27",2027,"Sc0000066",654108,644107,676724,"Mcavernosa16979","S","Lectin C-type domain",0.044191,"**"
"28",2042,"Sc0000067",284567,278061,285961,"Mcavernosa17017","P","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis (By similarity)",0,"***"
"29",2042,"Sc0000067",284567,282441,289151,"Mcavernosa17018","P","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis (By similarity)",0,"***"
"30",2091,"Sc0000069",259168,250294,259857,"Mcavernosa17169","K","Iroquois homeobox",0.014827,"**"
"31",2092,"Sc0000069",259171,250294,259857,"Mcavernosa17169","K","Iroquois homeobox",0.0094092,"***"
"32",2245,"Sc0000075",616525,607578,618954,"Mcavernosa02407","C","solute carrier family 25, member 38",0.034116,"**"
"33",2304,"Sc0000078",538250,533613,551888,"Mcavernosa02598","O","family with sequence similarity 181, member B",0.075861,"*"
"34",2307,"Sc0000078",614585,613259,619758,"Mcavernosa02606","L","Diphthamide biosynthesis protein 3",0,"***"
"35",2311,"Sc0000079",250813,238726,255446,"Mcavernosa02643","T","Cholinergic receptor, nicotinic, alpha",0.083353,"*"
"36",2311,"Sc0000079",250813,248660,262153,"Mcavernosa02644","T","cholinergic receptor, nicotinic",0.083353,"*"
"37",2349,"Sc0000080",361792,360415,371754,"Mcavernosa02783","T","leucine rich repeat and sterile alpha motif containing 1",0.00075784,"***"
"38",2353,"Sc0000080",488331,487227,499585,"Mcavernosa02799","S","Coiled-coil domain containing 151",0.088105,"*"
